sim|population|distance|rating|states|counties|wfos|hospitals|hospitalbeds|mobileparks|mobilehomes|psubstations|plines|slon|slat|elon|elat
5|608|0.8849|0|MN|27033|FSD|0|0|0|0|0|0|-95.4077|44.0868|-95.3946|44.0955
10|3840|1.8462|1|MN|27053|MPX|0|0|1|75|1|0|-94.2791|45.6221|-94.2458|45.6352
10|464|1.585|2|MN|27131|MPX|0|0|0|0|0|0|-92.4685|44.2658|-92.4457|44.2819
10|96|0.0781|0|MN|27165|MPX|0|0|0|0|0|0|-94.6327|44.0796|-94.6312|44.0801
17|1072|1.2394|0|MN|27145,27171|MPX|0|0|0|0|0|0|-94.0579|45.3637|-94.0476|45.3802
18|288|0.1402|0|MN|27131|MPX|0|0|0|0|0|0|-93.2464|44.4919|-93.244|44.493
18|112|2.0287|1|MN|27067|MPX|0|0|0|0|0|0|-94.9197|45.4314|-94.8837|45.4464
18|48|0.8049|1|MN|27105|FSD|0|0|0|0|0|0|-95.5632|43.784|-95.5527|43.7929
22|48|0.1485|0|MN|27129|MPX|0|0|0|0|1|0|-93.1591|44.6373|-93.1562|44.6378
26|1920|8.2018|1|MN,WI|27163,55109|MPX|0|0|0|0|2|4|-92.8006|44.8324|-92.7031|44.9289
26|608|5.5532|1|MN|27013|MPX|0|0|0|0|0|0|-93.8057|44.0929|-93.7341|44.1547
26|2064|0.2111|0|MN|27141|MPX|1|54|1|75|3|6|-94.7632|45.493|-94.7602|45.4952
26|128|2.6979|2|MN|27165|MPX|0|0|0|0|0|0|-94.4483|44.1057|-94.4058|44.1301
26|240|1.0487|1|MN|27145|MPX|0|0|0|0|0|0|-94.355|45.4186|-94.3359|45.4257
30|44080|6.9413|1|MN|27003|MPX|0|0|0|0|1|1|-93.2243|45.1981|-93.1331|45.2753
32|320|1.3249|1|MN|27009,27097|MPX|0|0|0|0|0|0|-93.9502|45.8778|-93.9292|45.8902
36|304|2.9736|1|MN|27013,27103|MPX|0|0|0|0|0|0|-92.9663|45.1729|-92.9089|45.1876
36|832|0.8593|1|MN|27171|MPX|0|0|0|0|0|0|-93.9387|45.1069|-93.927|45.1162
37|48|1.9681|1|MN|27129|MPX|0|0|1|25|1|0|-94.7524|44.7472|-94.7124|44.7489
38|304|1.5534|0|MN|27019|MPX|0|0|0|0|0|0|-93.6726|44.7269|-93.6497|44.7424
40|752|0.3757|1|MN|27065|MPX|0|0|0|0|0|0|-93.1703|45.9641|-93.1639|45.9673
40|80|0.9844|0|MN|27151|MPX|0|0|0|0|0|0|-93.3807|44.7581|-93.3702|44.7702
40|240|1.7962|0|MN|27067|MPX|0|0|0|0|0|0|-94.8172|44.9808|-94.7861|44.9945
40|464|0.8413|0|MN|27091|MPX|1|119|0|0|0|0|-94.4271|43.621|-94.4111|43.6246
41|128|3.6771|1|MN|27033|FSD,MPX|0|0|0|0|0|0|-95.0962|44.0377|-95.0692|44.0872
41|64|10.2971|2|MN|27127|MPX|0|0|0|0|0|0|-94.3082|43.6545|-94.115|43.7063
45|48|0.7505|0|MN|27063|FSD|0|0|0|0|0|0|-95.2639|43.6226|-95.2501|43.6268
52|368|0.7441|0|MN|27171|MPX|0|0|0|0|0|0|-94.1702|45.1854|-94.161|45.194
55|48|0.6541|0|MN|27151|MPX|0|0|0|0|0|0|-95.5225|45.2106|-95.5143|45.2181
55|192|0.4013|0|MN|27091|MPX|0|0|0|0|0|0|-93.5522|44.59|-93.5445|44.5919
56|144|5.0656|2|MN|27013|MPX|0|0|0|0|0|0|-93.7933|43.979|-93.7112|44.0225
59|1792|1.1488|0|MN|27059,27065|DLH|0|0|0|0|0|0|-93.0846|45.7821|-93.0626|45.7885
59|6816|14.6918|1|MN|27067,27093|MPX|0|0|0|0|0|0|-94.9536|45.1343|-94.6854|45.2316
59|80|2.3476|3|MN|27121|MPX|0|0|0|0|0|0|-95.3347|45.5769|-95.3068|45.6047
61|1648|0.8373|1|MN|27003,27059|MPX|0|0|0|0|0|0|-94.0017|45.2883|-93.9907|45.2976
61|272|0.0541|0|WI|55093|MPX|0|0|0|0|0|0|-92.3611|44.739|-92.3603|44.7395
64|208|5.4424|1|MN|27067|MPX|0|0|0|0|0|0|-94.8673|44.9874|-94.7928|45.046
64|1984|3.0617|1|MN|27059|MPX|0|0|1|125|0|0|-93.0453|45.535|-92.993|45.56
66|208|0.5878|0|MN|27097|MPX|0|0|0|0|0|0|-93.943|46.0872|-93.9339|46.0929
66|96|2.9916|1|MN|27083|FSD|0|0|0|0|1|0|-95.8741|44.4741|-95.8527|44.5146
71|80|1.1954|0|MN|27047|ARX|0|0|0|0|0|0|-93.0777|43.8764|-93.0658|43.8914
72|128|0.5095|0|MN|27103,27143|MPX|0|0|0|0|0|0|-93.7016|44.6352|-93.6918|44.6376
74|576|0.2195|0|MN|27059|MPX|0|0|0|0|0|0|-93.3406|45.4746|-93.3372|45.4767
74|96|6.3935|1|MN|27127|MPX|0|0|0|0|0|0|-95.407|44.3187|-95.2966|44.3671
75|144|0.2598|1|IA|19063|DMX|0|0|0|0|0|0|-94.6078|43.3511|-94.6036|43.3532
77|1792|0.6479|1|MN|27053|MPX|0|0|0|0|1|2|-93.6013|45.0962|-93.592|45.1029
78|528|2.4883|1|MN|27049|MPX|0|0|0|0|0|0|-92.8546|44.4651|-92.8188|44.4905
