population,hospitals,mobilehomes,psubstations
16,0,0,0
48,0,0,0
288,0,0,0
864,0,0,1
96,0,0,0
336,0,0,1
208,0,0,6
96,0,0,1
32,0,0,0
1104,0,0,0
48,0,0,1
112,0,0,0
224,0,0,0
0,0,0,0
32,0,0,0
480,0,0,0
32,0,0,0
16,0,0,0
592,0,0,0
32,0,0,0
0,0,0,0
16,0,0,0
2208,1,0,0
96,0,0,0
1328,0,0,1
0,0,0,0
11808,0,325,8
0,0,0,0
87888,8,225,7
16,0,0,0
176,0,0,0
48,0,0,1
32,0,0,0
32,0,0,0
27712,0,0,5
128,0,0,0
3008,0,0,0
16,0,0,0
288,0,0,0
112,0,0,1
48,0,125,1
48,0,0,0
368,0,0,0
528,0,0,0
32,0,0,0
32,0,0,0
3920,0,0,0
48,0,0,0
3328,0,0,0
160,0,0,0
64,0,0,0
656,0,0,0
48,0,0,0
0,0,0,0
16,0,0,0
16,0,0,0
16,0,0,0
96,0,0,0
32,0,0,0
0,0,0,0
8576,0,0,0
1328,0,0,0
352,0,0,0
160,0,0,0
480,0,0,0
32,0,0,0
432,0,0,1
16,0,0,0
48,0,0,0
560,0,0,0
256,0,0,0
384,0,0,0
288,0,0,2
16,0,0,0
0,0,0,0
0,0,0,0
80,0,0,1
352,1,150,0
32,0,0,0
0,0,0,0
48,0,0,0
32,0,0,0
624,0,0,0
240,0,0,0
144,0,0,0
80,0,0,1
224,2,0,5
0,0,0,1
48,0,0,2
1136,0,0,0
32,0,0,0
192,0,0,2
576,0,0,0
48,0,0,0
32,0,0,0
1936,0,0,0
160,0,0,0
16,0,0,1
32,0,0,0
368,0,0,0
0,0,0,0
16,0,0,0
368,0,0,2
160,0,0,0
7392,0,0,0
48,1,0,0
0,0,0,0
16512,1,0,0
0,0,0,0
11696,0,0,0
128,0,0,0
20384,1,150,9
80,0,0,2
48,0,0,0
3360,0,0,1
1280,0,0,2
320,1,150,1
208,0,0,0
480,0,0,0
144,0,0,0
1632,0,0,0
0,0,0,0
256,1,0,4
112,0,0,0
784,0,0,1
16,0,0,0
32,0,0,0
128,0,0,0
0,0,0,0
96,0,0,0
240,0,0,0
0,0,0,0
16,0,0,0
416,0,0,0
0,0,0,0
144,0,0,0
336,1,50,5
48,0,0,0
1552,0,0,0
16,0,0,0
416,0,0,0
64,0,0,1
64,0,0,0
64,0,0,0
32,0,0,0
16,0,0,0
3200,0,0,0
0,0,0,0
144,0,0,0
3296,1,150,2
32,0,0,0
96,0,0,0
96,0,0,0
16,0,0,0
224,0,0,0
112,0,0,0
96,0,0,0
32,0,0,0
112,0,0,2
16,0,0,0
32,0,0,0
128,0,0,0
16,0,0,0
176,0,0,0
224,0,0,0
80,0,0,0
240,0,0,0
32,0,0,0
32,0,0,1
1872,0,0,0
320,0,0,0
0,0,0,0
144,0,275,1
0,0,0,0
64,0,0,3
32,0,0,1
0,0,0,0
1248,0,0,1
128,0,0,1
112,0,0,1
96,0,0,2
144,0,0,1
16,0,0,0
448,1,0,0
2016,0,0,0
6832,0,0,1
3024,0,25,2
80,0,0,0
208,0,0,1
64,0,0,0
3408,0,375,1
80,0,0,0
63536,1,225,3
64,0,0,3
96,0,0,0
16,0,0,0
16,0,0,0
176,0,175,0
32,0,0,1
112,0,0,0
32,0,0,0
128,0,0,0
2064,0,0,0
6496,0,225,2
304,0,0,1
96,0,0,0
32,0,0,1
160,0,0,1
0,0,0,0
16,0,0,0
112,0,0,2
336,0,0,0
32,0,0,0
16,0,0,0
48,0,0,1
0,0,0,0
16,0,0,0
32,0,0,0
48,0,0,0
48,0,0,0
416,0,0,2
16,0,0,0
0,0,0,0
16,0,0,2
2096,0,0,0
32,0,0,0
2320,0,50,3
96,0,0,0
16,0,0,0
64,1,0,0
496,0,0,3
0,0,0,0
80,0,0,2
16,0,0,0
192,0,225,1
32,0,0,0
32,0,0,0
7312,0,25,2
1520,0,0,2
16,0,0,1
64,0,0,0
48,0,0,0
64,0,0,0
32,0,0,0
336,0,0,2
384,0,0,1
3600,0,25,1
816,1,0,0
48,0,0,0
16,0,0,0
1040,0,0,0
800,1,0,1
2928,0,0,1
0,0,0,0
144,0,0,0
48,0,0,0
16,0,0,1
32,0,0,1
16,0,0,0
0,0,0,0
112,0,0,1
80,0,0,0
48,0,0,0
16,0,0,0
320,0,0,1
0,0,0,0
160,0,0,2
16,0,0,1
256,0,0,3
80,0,0,0
64,0,0,0
32,0,0,0
6464,0,0,2
80,0,0,0
1456,0,25,4
48,0,0,0
0,0,0,0
160,0,0,0
432,1,0,6
480,0,0,0
112,0,0,0
16,0,0,0
0,0,0,0
16,0,0,0
32,0,0,0
80,0,0,0
16,0,0,0
0,0,0,0
96,0,0,0
32,0,0,0
29552,0,175,3
0,0,0,0
224,0,0,0
0,0,0,0
64,1,150,0
16,0,0,3
192,0,0,0
0,0,0,1
48,0,0,0
1536,0,75,4
64,0,0,0
80,0,0,0
64,0,0,2
48,0,0,0
16,0,0,0
528,0,0,0
2240,0,0,2
2512,0,0,0
16,0,0,0
112,0,0,0
368,0,0,0
16,1,0,0
64,0,0,0
32,0,0,0
48768,0,125,6
16,0,0,0
0,0,0,0
144,0,0,3
0,0,0,0
128,0,0,0
0,0,0,1
1120,0,0,0
160,0,0,0
16,0,0,0
64,0,0,1
2096,0,0,0
816,0,0,0
16,0,0,0
64,0,0,0
0,0,0,0
112,0,0,0
2560,1,0,3
0,0,0,0
48,0,0,0
0,0,0,1
64,0,0,0
128,0,0,0
48,0,0,0
32,0,0,0
32,0,0,0
16,0,0,0
16,0,0,0
2080,0,0,0
48,0,0,0
48,0,0,1
800,0,150,1
80,0,0,0
0,0,0,0
48,1,0,1
96,0,0,0
64,0,0,0
0,0,0,0
12928,0,0,1
0,0,0,0
32,0,0,0
64,0,0,0
32,0,0,0
16,0,0,0
32,0,0,0
96,0,0,0
432,0,0,0
528,0,0,2
0,0,0,1
0,0,0,0
64,0,0,0
128,0,0,3
16,0,0,2
32,1,0,0
240,0,0,0
160,0,0,4
96,0,0,1
48,0,0,0
0,0,0,2
160,1,0,3
208,0,0,0
144,0,0,0
16,0,0,0
48,0,0,0
192,0,0,0
48,0,0,0
160,0,0,0
0,0,0,0
0,0,0,0
96,2,0,2
0,0,0,0
0,0,0,0
32,0,0,0
16,0,0,0
16,0,0,1
352,0,0,2
0,0,0,0
112,0,0,0
64,0,0,0
0,0,0,0
64,0,0,1
48,0,0,0
2288,0,0,2
464,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
96,0,0,0
2992,0,50,6
16,0,0,0
160,0,0,0
0,0,0,0
512,0,0,1
0,0,0,0
176,0,0,0
496,0,0,0
32,0,0,0
7664,0,0,1
48,0,0,2
96,0,0,1
80,0,0,0
32,0,0,0
16,0,0,0
48,0,0,0
208,0,0,1
48,0,0,0
2128,0,0,0
48,0,0,0
112,0,0,0
112,0,0,0
0,0,0,0
32,0,0,0
192,0,0,2
16,0,0,0
2112,0,0,0
1216,0,0,0
0,0,0,0
32,0,0,0
384,0,0,0
224,0,0,0
16,0,0,0
112,0,0,0
48,0,0,0
832,0,0,1
16,0,0,0
64,0,0,0
32,0,0,2
176,0,0,0
560,0,0,0
96,0,0,0
2944,0,25,4
0,0,0,0
112,0,0,0
320,1,0,0
112,0,0,0
96,0,0,0
48,0,0,0
1664,0,0,1
64,0,0,0
896,0,0,3
112,0,0,0
80,0,0,0
3168,0,0,1
16,0,0,0
192,0,0,0
48,0,0,0
672,1,0,4
160,0,0,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
400,0,0,0
80,0,100,1
0,0,0,0
96,0,0,0
80,0,0,0
1120,0,0,3
224,0,0,0
256,0,0,1
16,0,0,0
32,0,0,0
2080,0,0,0
3232,1,0,5
64,0,0,0
2544,1,0,0
944,0,0,1
16,0,0,2
1792,0,50,0
304,0,0,1
64,0,0,1
80,0,0,0
96,0,0,0
0,0,0,0
512,0,0,0
208,0,0,2
272,0,0,0
64,0,0,0
96,0,0,1
48,0,0,0
160,0,0,2
17456,1,0,4
0,0,0,0
0,0,0,0
1104,0,0,0
16,0,0,0
272,0,0,0
2928,1,0,2
48,0,0,0
80,0,0,0
656,0,0,0
64,0,0,0
48,0,0,0
0,0,0,0
400,0,0,0
1872,0,0,0
0,0,0,1
32160,1,0,3
1264,0,0,0
112,0,0,0
80,0,0,0
96,0,0,0
1664,0,0,4
368,1,0,4
48,0,0,2
2096,0,0,0
0,0,0,0
0,0,0,0
64,0,0,0
112,1,0,0
160,0,0,2
16,1,0,0
0,0,0,0
16,0,0,0
112,0,0,1
16,0,0,0
0,0,0,0
0,0,0,0
176,0,0,0
3440,0,25,0
48,0,0,0
0,0,0,0
80,0,0,0
32,0,0,0
32,0,0,0
96,0,0,0
16,0,0,0
0,0,0,0
16,0,0,0
576,0,0,4
5584,0,25,3
128,0,0,0
48,0,0,0
32,0,0,0
2736,0,0,0
96,0,0,0
32,0,0,1
240,0,0,0
1744,0,0,1
16,0,0,0
64,0,0,0
16,0,0,0
16,0,0,0
16,0,0,0
48,0,0,0
96,0,0,0
32,0,0,0
144,0,0,0
64,0,0,0
80,0,0,0
96,0,0,0
544,0,0,0
16,0,0,0
96,1,0,0
64,0,0,2
32,0,0,0
48,0,0,2
16,0,0,0
240,0,0,1
16,0,0,0
928,0,0,0
2096,0,0,0
32,0,0,0
32,0,0,0
16,0,0,0
224,0,0,2
0,0,0,0
48,0,0,0
1488,1,0,2
400,0,0,0
0,0,0,0
0,0,0,0
960,0,0,0
0,0,0,0
1600,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
112,0,0,0
16,0,0,0
2112,0,0,1
464,0,0,0
80,0,0,0
16,0,0,0
208,0,0,0
0,0,0,0
416,0,0,1
112,0,0,0
0,0,0,0
944,0,0,2
0,0,0,0
224,0,0,1
16,0,0,0
0,0,0,0
128,0,0,0
432,0,0,0
0,0,0,0
0,0,0,0
528,0,0,0
48,0,0,0
128,0,0,1
7296,0,50,2
48,1,0,0
0,0,0,0
112,0,0,0
2016,0,0,1
48,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
1344,0,0,0
16,0,0,0
80,0,0,0
32,0,0,0
16,0,0,0
400,0,0,0
32,0,0,0
400,0,0,1
0,0,0,0
16,0,0,0
32,0,0,0
368,0,0,0
16,0,0,0
80,0,0,1
3520,0,0,2
608,0,0,2
64,0,0,2
32,0,0,0
48,0,0,0
0,0,0,2
400,0,0,0
48,0,0,0
16,0,0,2
0,0,0,0
8272,0,250,2
0,0,0,0
80,0,0,0
96,0,0,0
144,0,0,0
16,0,0,0
128,0,0,0
32,0,0,0
0,0,0,1
624,0,0,0
0,0,0,0
384,0,0,0
96,0,0,1
128,0,0,0
1392,0,0,1
304,0,0,0
16,0,0,2
64,0,0,3
64,0,0,0
880,0,0,0
64,0,0,0
96,0,0,2
32,0,0,0
192,0,0,0
0,0,0,0
368,0,0,0
112,0,0,0
208,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
144,0,0,0
224,0,0,3
2976,0,0,0
2304,0,0,2
320,0,0,0
64,0,0,1
64,0,0,0
0,0,0,0
32,0,0,0
1952,0,0,0
64,0,0,0
0,0,0,0
64,0,0,0
112,0,0,0
1328,0,0,1
0,0,0,0
1168,0,0,0
48,0,0,0
0,0,0,0
64,0,0,0
0,0,0,0
96,0,0,0
2896,0,0,0
32,0,0,0
0,0,0,0
624,0,0,1
80,0,0,0
1024,0,0,0
16,0,0,0
48,0,0,0
16,0,0,0
2832,0,0,0
0,0,0,0
16,0,0,1
16,0,0,0
16,0,0,0
48,0,0,2
144,1,0,3
1824,0,0,2
160,0,125,0
240,0,0,0
2160,0,0,0
16,0,0,0
128,0,0,1
224,0,0,0
64,0,0,0
2192,0,0,0
416,0,0,0
0,0,0,0
0,0,0,0
656,0,0,0
464,0,0,0
816,0,0,0
0,0,0,1
512,0,0,0
32,0,0,0
192,0,0,0
7584,0,0,4
32,0,0,0
160,0,0,0
16,0,0,0
1376,0,0,0
2096,1,0,0
2112,0,0,4
592,0,0,2
96,0,0,4
32,0,0,0
