sim,population,hospitals,mobilehomes,psubstations
1,6528,0,0,0
2,11936,0,75,0
3,656,0,0,0
4,320,0,0,0
5,1776,0,0,2
6,4064,0,0,0
7,336,0,0,0
8,928,0,0,0
9,8352,0,0,0
10,704,0,0,0
11,0,0,0,0
12,1840,0,50,3
13,272,0,0,0
14,352,0,0,0
15,0,0,0,0
16,45328,2,125,18
17,144,0,0,0
18,2464,0,0,0
19,1344,0,0,0
20,0,0,0,0
21,14624,0,25,2
22,80,0,0,0
23,3184,0,0,1
24,6640,1,0,4
25,800,0,0,1
26,144,0,0,1
27,656,0,0,0
28,0,0,0,0
29,352,0,0,0
30,16448,0,25,2
31,1328,0,0,0
32,16064,0,75,10
33,6976,0,0,1
34,0,0,0,0
35,3488,0,0,2
36,1056,0,0,1
37,2880,1,75,5
38,2000,0,0,2
39,3168,0,500,8
40,9872,0,100,1
41,1648,2,50,2
42,3440,0,150,6
43,1952,2,25,3
44,2016,0,50,3
45,368,0,0,1
46,1984,0,50,2
47,4352,0,150,4
48,13760,3,75,7
49,4784,0,100,1
50,0,0,0,0
51,1248,0,50,1
52,64,0,0,0
53,0,0,0,0
54,576,0,0,0
55,0,0,0,0
56,1040,0,50,0
57,2496,0,0,2
58,1920,0,0,4
59,0,0,0,0
60,512,0,25,0
61,1152,0,0,0
62,3920,0,25,1
63,0,0,0,0
64,3152,0,50,0
65,448,0,0,1
66,112,0,0,0
67,144,0,0,0
68,544,0,0,4
69,7232,0,25,0
70,0,0,0,0
71,352,0,0,0
72,0,0,0,0
73,19680,2,300,4
74,608,0,0,0
75,592,0,0,0
76,288,0,0,0
77,448,0,0,0
78,224,0,0,0
79,0,0,0,0
80,256,0,0,0
81,0,0,0,0
82,4048,0,0,5
83,0,0,0,0
84,1120,0,0,0
85,3872,0,0,2
86,0,0,0,0
87,80,0,0,0
88,16,0,0,0
89,5632,0,250,1
90,7664,0,25,0
91,720,0,25,0
92,2736,0,100,5
93,5520,0,75,0
94,1152,0,100,0
95,3440,0,200,4
96,5088,0,0,2
97,37296,3,100,2
98,1872,0,0,0
99,32,0,0,0
100,7024,1,275,3
101,0,0,0,0
102,2432,0,150,1
103,320,0,0,0
104,464,0,0,0
105,1264,1,50,3
106,8384,0,0,1
107,352,0,0,0
108,1104,0,0,0
109,0,0,0,0
110,2160,0,50,2
111,3120,0,0,4
112,10896,0,0,0
113,416,0,0,0
114,304,0,0,0
115,1040,0,0,1
116,1600,0,75,1
117,3984,0,50,1
118,2928,0,0,0
119,0,0,0,0
