population,hospitals,mobilehomes,psubstations
0,0,0,0
0,0,0,0
320,0,0,0
3600,0,0,0
1056,0,0,0
240,0,0,0
4192,0,0,0
3328,0,0,0
720,0,0,0
14944,0,50,3
1264,0,0,0
0,0,0,0
256,0,0,0
18512,1,25,6
608,0,0,0
63824,10,300,10
432,1,25,2
16288,0,0,3
4960,0,0,0
816,0,0,0
0,0,0,0
0,0,0,0
121616,2,0,2
32000,1,0,0
53984,0,450,8
0,0,0,0
256,0,0,0
0,0,0,0
7120,0,125,0
64144,0,0,3
0,0,0,0
384,0,25,0
3696,0,0,0
0,0,0,0
400,0,0,0
5232,0,75,5
800,0,0,1
0,0,0,0
544,0,0,0
3648,0,0,0
432,0,0,0
1040,0,0,0
2592,0,0,0
0,0,0,0
0,0,0,0
4864,0,100,0
1504,0,0,0
1920,0,0,0
2480,0,0,1
3456,0,0,0
48,0,0,0
0,0,0,0
0,0,0,0
3392,0,0,1
5280,0,0,0
96,0,0,0
0,0,0,0
128,0,0,0
0,0,0,0
0,0,0,0
15728,0,0,0
2656,0,0,0
0,0,0,0
704,0,0,0
0,0,0,0
2096,0,0,0
12464,0,0,0
96,0,0,0
75824,0,200,5
0,0,0,0
2016,0,0,0
36816,0,0,7
512,0,0,0
22800,0,0,1
1120,0,0,0
64,0,0,0
32,0,0,0
8240,0,75,2
144,0,0,0
0,0,0,0
832,1,0,1
96,0,0,0
16144,1,0,1
3392,0,0,0
2736,0,0,1
1616,0,0,0
34896,0,425,1
16,0,0,0
752,0,0,0
496,0,0,0
416,0,0,0
2256,0,0,0
63584,1,175,8
0,0,0,0
80,0,0,0
0,0,0,0
5808,0,0,0
192,0,0,0
1984,0,0,0
96,0,0,0
16,0,0,0
912,0,0,0
2496,0,0,0
992,0,25,0
2352,0,0,2
1104,0,0,0
0,0,0,0
7792,0,0,0
64,0,0,0
1904,0,0,4
0,0,0,0
5984,0,0,0
0,0,0,0
1360,0,0,0
0,0,0,0
4624,0,0,0
96,0,0,0
608,0,0,0
128,0,0,0
73168,1,25,6
1424,1,75,1
176,0,0,0
208,0,0,0
64,0,0,0
288,0,25,0
0,0,0,0
160,1,0,0
1440,0,0,0
22352,0,100,2
80,0,0,0
3248,0,0,0
0,0,0,0
4288,0,0,0
43440,1,275,5
0,0,0,0
7392,0,0,1
432,0,0,2
0,0,0,0
256,0,0,0
0,0,0,0
8368,2,375,1
13328,0,100,0
