population,hospitals,mobilehomes,psubstations
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2096,0,50,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
64,0,0,0
720,0,0,0
0,0,0,0
192,0,0,0
176,0,0,1
272,0,0,0
0,0,0,0
944,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
80,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3296,1,0,0
0,0,0,0
0,0,0,0
80,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
896,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
320,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3456,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
752,0,25,0
0,0,0,0
0,0,0,0
0,0,0,0
2528,0,275,1
0,0,0,0
0,0,0,0
0,0,0,0
6624,1,150,1
1504,0,0,0
656,0,0,0
160,0,0,0
1760,0,0,0
1424,0,0,1
0,0,0,0
0,0,0,0
4400,0,50,0
0,0,0,0
1968,0,125,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1296,0,0,0
0,0,0,0
0,0,0,0
6272,0,0,0
368,0,0,0
32,0,0,0
0,0,0,0
208,0,0,0
544,0,0,0
3152,0,25,0
3008,0,0,1
11152,0,125,0
0,0,0,0
0,0,0,0
0,0,0,0
1120,0,0,1
0,0,0,0
0,0,0,0
400,0,0,0
240,0,0,0
0,0,0,0
0,0,0,0
320,0,0,0
0,0,0,0
192,0,0,0
208,0,0,0
0,0,0,0
0,0,0,0
12064,0,0,2
592,0,0,0
0,0,0,0
368,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
624,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
