population,hospitals,mobilehomes,psubstations
272,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
64,0,0,0
240,0,0,0
0,0,0,0
224,0,50,1
6576,1,150,5
10832,1,0,2
0,0,0,0
64,0,0,0
16,0,0,0
0,0,0,0
48,0,0,0
80,0,0,0
0,0,0,0
9424,0,0,0
80,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
672,0,0,1
240,0,0,0
48,0,0,0
432,0,75,0
480,0,25,4
16,0,0,0
0,0,0,0
80,0,0,0
2752,0,0,0
160,0,0,1
2944,0,0,0
64,0,0,0
0,0,0,0
0,0,0,0
15904,2,0,3
128,0,0,0
0,0,0,0
80,0,0,0
0,0,0,0
448,0,0,0
64,0,0,0
1648,1,0,1
16,0,0,0
0,0,0,0
64,0,0,0
16,0,0,0
16720,0,150,2
0,0,0,0
80,0,0,0
240,0,0,0
128,0,0,0
64,0,0,0
48,0,0,0
0,0,0,0
10192,0,0,0
2704,0,0,0
0,0,0,0
560,0,0,0
0,0,0,0
5040,1,125,0
16,0,0,0
0,0,0,0
192,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
336,0,0,0
16,0,0,0
0,0,0,0
384,0,25,1
544,0,0,0
640,0,0,0
0,0,0,0
3296,0,0,1
0,0,0,0
64,0,0,1
256,0,0,2
0,0,0,0
80,0,0,0
0,0,0,0
96,0,0,0
176,0,125,4
0,0,0,0
16,0,0,0
288,0,25,2
288,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
96,0,0,0
0,0,0,0
48,0,0,0
64,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
288,0,0,0
656,0,0,0
0,0,0,0
48,0,0,0
528,0,0,1
608,0,0,0
32240,1,0,2
0,0,0,0
1216,0,0,0
208,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
336,1,175,5
80,0,0,0
0,0,0,0
0,0,0,0
1024,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
32,0,0,0
0,0,0,0
64,0,0,0
112,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
26672,1,0,0
192,0,0,1
64,0,0,0
69488,0,0,3
64,0,0,0
0,0,0,0
1088,0,0,0
368,0,0,0
0,0,0,0
32,0,0,0
384,0,0,1
32,0,0,0
0,0,0,0
560,0,0,0
0,0,0,0
2016,0,0,0
32,0,0,0
32,0,0,0
288,0,0,0
192,0,0,0
1136,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
128,0,0,0
0,0,0,0
2880,0,0,0
2528,1,0,1
0,0,0,0
0,0,0,0
3232,0,150,0
416,0,0,0
26576,0,150,2
368,0,0,0
528,0,0,0
464,0,0,0
1920,0,0,0
0,0,0,0
400,0,0,1
1120,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
832,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
480,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
96,0,0,0
0,0,0,0
1504,0,0,0
6704,1,0,1
1808,0,125,1
0,0,0,0
208,0,0,0
0,0,0,0
80,0,0,0
0,0,0,0
192,0,0,0
2048,0,0,0
0,0,0,0
672,0,0,0
560,0,75,0
64,0,0,0
0,0,0,0
0,0,0,0
1376,0,0,0
16,0,0,0
464,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
64,0,0,0
32,0,0,0
16,0,0,0
4592,0,0,1
0,0,0,0
34192,0,0,4
128,0,0,0
0,0,0,0
3952,0,1150,8
1264,1,0,0
0,0,0,0
7856,1,0,1
80,0,0,0
3088,0,0,0
16,0,0,0
0,0,0,0
800,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3024,0,0,1
2608,0,0,0
320,0,0,0
0,0,0,0
64,0,0,0
0,0,0,0
0,0,0,0
48,0,0,1
0,0,0,0
16,0,0,0
6992,1,100,2
16,0,0,0
0,0,0,0
1136,0,25,0
0,0,0,0
64,0,0,0
288,0,0,0
0,0,0,0
80,0,0,0
32,0,0,0
48,0,0,0
2512,0,0,0
688,0,0,0
400,1,0,0
64,0,0,0
0,0,0,0
272,0,0,0
0,0,0,0
144,0,0,0
0,0,0,0
3664,1,150,2
0,0,0,0
16,0,0,0
32,0,0,0
16,0,0,0
112,0,0,0
16,0,0,0
0,0,0,0
784,1,0,1
208,0,0,2
48,0,0,0
432,0,0,0
160,0,0,0
48,0,0,0
32,0,0,0
352,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
4048,0,25,1
368,0,0,2
128,0,0,0
0,0,0,0
0,0,0,0
80,0,0,1
448,0,0,0
0,0,0,0
0,0,0,0
64,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
400,0,0,0
5824,0,175,0
32,0,0,0
32,0,0,0
736,0,0,0
64,0,0,1
112,0,0,0
0,0,0,0
64,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
192,0,0,0
1920,0,0,1
32,0,0,0
0,0,0,0
4704,0,0,0
992,1,0,2
14128,0,0,0
256,0,0,0
32,0,0,0
80,0,0,0
48,0,0,0
160,0,0,0
0,0,0,0
224,0,0,0
3712,2,25,6
0,0,0,0
0,0,0,0
0,0,0,0
480,0,0,0
1088,0,0,0
0,0,0,0
208,0,0,0
112,0,0,0
3312,0,25,1
208,0,0,0
480,0,0,0
400,0,125,1
0,0,0,0
0,0,0,0
752,1,0,1
176,0,0,0
0,0,0,0
592,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
48,0,0,0
384,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
64,0,0,0
1248,0,0,0
0,0,0,0
0,0,0,0
32,0,0,0
1120,0,175,0
0,0,0,0
80,0,0,0
80,0,0,0
160,0,125,4
192,0,0,0
176,0,0,0
0,0,0,0
0,0,0,0
80,0,0,0
96,0,0,0
32,0,0,0
16,0,0,0
160,0,0,0
80,0,0,0
1040,0,0,0
0,0,0,0
0,0,0,0
1856,0,0,1
0,0,0,0
0,0,0,0
64,0,0,0
48,0,0,0
0,0,0,0
48,0,0,0
160,0,0,0
336,0,0,0
672,1,0,0
128,1,0,1
144,0,0,0
96,0,0,1
0,0,0,0
16,0,0,0
0,0,0,0
320,0,0,0
96,0,25,0
240,0,25,1
416,0,0,0
528,1,0,0
1264,0,0,0
544,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
160,0,0,1
0,0,0,0
576,0,0,0
32,0,0,0
48,0,0,0
0,0,0,0
16,0,0,0
256,0,0,2
352,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
144,0,0,0
0,0,0,0
16,0,0,0
1168,0,50,1
0,0,0,0
0,0,0,0
144,1,0,0
368,0,0,0
1376,0,0,0
80,0,0,0
0,0,0,0
176,0,0,0
32,0,0,0
16,0,0,0
12880,1,25,7
0,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
608,0,0,0
256,0,0,0
64,0,0,0
160,0,0,0
176,0,0,0
224,0,125,4
2304,0,0,0
0,0,0,0
3328,1,75,1
1280,0,0,0
0,0,0,0
112,0,0,1
1040,0,0,0
48,0,0,0
288,1,175,9
720,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
16,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
176,0,0,0
0,0,0,0
80,0,0,0
192,0,0,0
3920,0,0,0
96,0,0,0
512,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
1440,0,25,0
9392,0,0,0
1488,0,0,0
128,0,0,0
144,0,0,1
2480,0,0,3
64,0,0,0
48,0,0,0
16,0,0,0
0,0,0,0
13520,0,150,1
32,1,0,0
112,0,0,0
0,0,0,0
80,0,0,1
0,0,0,0
48,0,0,0
64,0,0,0
592,0,0,0
32,0,0,0
0,0,0,0
128,0,0,0
0,0,0,0
0,0,0,0
80,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
112,0,0,1
128,0,0,0
10768,1,325,4
224,1,0,0
0,0,0,0
608,0,0,0
0,0,0,0
240,0,0,0
32,0,0,0
0,0,0,0
80,0,0,0
432,0,0,0
0,0,0,0
16,0,0,0
80,0,0,0
192,0,0,0
528,0,0,4
2736,0,0,0
192,0,0,0
80,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
64,0,0,0
0,0,0,0
112,0,0,0
0,0,0,0
592,0,0,1
0,0,0,0
336,0,0,1
2640,0,25,0
160,0,0,0
576,0,0,0
80,0,0,0
0,0,0,0
16,0,0,0
752,0,0,0
160,0,0,0
0,0,0,0
48,0,0,0
0,0,0,0
48,0,0,0
240,0,0,0
144,0,0,0
1088,0,0,0
32,0,0,0
16,0,0,0
0,0,0,0
3168,1,0,1
0,0,0,0
16,0,0,0
624,0,0,0
0,0,0,0
384,0,0,1
16,0,0,0
3808,1,0,1
0,0,0,0
96,1,0,0
240,0,0,0
240,0,0,0
704,1,100,1
192,0,0,0
896,0,25,0
0,0,0,0
0,0,0,0
160,0,0,0
32,0,0,0
96,0,0,0
0,0,0,0
32,0,0,0
144,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
224,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3296,0,0,3
16,0,0,0
320,0,0,0
128,0,0,0
0,0,0,0
0,0,0,0
96,0,0,0
0,0,0,0
0,0,0,0
