sim,population,hospitals,mobilehomes,psubstations
1,272,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,64,0,0,0
6,240,0,0,0
7,16,0,0,0
8,256,0,50,1
9,6576,1,150,5
10,10848,1,0,2
11,0,0,0,0
12,80,0,0,0
13,112,0,0,0
14,80,0,0,0
15,64,0,0,0
16,80,0,0,0
17,48,0,0,0
18,10480,0,0,0
19,288,1,25,0
20,0,0,0,0
21,48,0,0,0
22,0,0,0,0
23,880,0,0,0
24,272,0,0,0
25,0,0,0,0
26,432,0,75,0
27,496,0,25,4
28,1328,0,0,1
29,16,0,0,0
30,1392,0,0,0
31,2752,0,0,0
32,160,0,0,1
33,2960,0,0,0
34,64,0,0,0
35,0,0,0,0
36,0,0,0,0
37,15904,2,0,3
38,128,0,0,0
39,208,0,0,0
40,96,0,0,2
41,0,0,0,0
42,448,0,0,0
43,64,0,0,0
44,1648,1,0,1
45,16,0,0,0
46,0,0,0,0
47,128,0,0,0
48,16,0,0,0
49,16720,0,150,2
50,0,0,0,0
51,112,0,0,0
52,240,0,0,0
53,128,0,0,0
54,1216,0,0,0
55,48,0,0,0
56,0,0,0,0
57,10192,0,0,0
58,2704,0,0,0
59,0,0,0,0
60,560,0,0,0
61,0,0,0,0
62,4976,1,125,0
63,16,0,0,0
64,0,0,0,0
65,192,0,0,0
66,16,0,0,0
67,0,0,0,0
68,0,0,0,0
69,1872,0,0,0
70,0,0,0,0
71,0,0,0,0
72,64,0,0,0
73,1184,0,0,0
74,640,0,0,0
75,0,0,0,0
76,3808,0,0,1
77,144,0,0,1
78,64,0,0,1
79,176,0,0,0
80,0,0,0,0
81,48,0,0,0
82,144,0,0,1
83,208,0,0,0
84,176,0,125,4
85,0,0,0,0
86,96,0,0,0
87,96,0,0,0
88,288,0,0,0
89,3792,0,0,0
90,0,0,0,0
91,3056,0,0,5
92,96,0,0,0
93,944,0,0,0
94,64,0,0,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,320,0,0,1
99,288,0,0,0
100,656,0,0,0
101,0,0,0,0
102,48,0,0,0
103,288,0,0,1
104,752,0,0,0
105,33168,1,0,2
106,32,0,0,0
107,1216,0,0,0
108,208,0,0,0
109,16,0,0,0
110,0,0,0,0
111,0,0,0,0
112,144,0,0,1
113,0,0,0,0
114,0,0,0,0
115,1184,0,0,0
116,592,1,100,2
117,336,1,175,5
118,752,0,75,0
119,0,0,0,0
120,16,0,0,0
121,1056,0,0,0
122,0,0,0,0
123,0,0,0,0
124,80,0,0,0
125,16,0,0,0
126,128,0,0,0
127,64,0,0,0
128,208,0,0,0
129,0,0,0,0
130,64,0,0,0
131,3424,0,0,0
132,26672,1,0,0
133,336,0,0,1
134,432,1,25,1
135,69504,0,0,3
136,1536,0,0,0
137,1216,0,0,1
138,1104,0,0,0
139,800,0,0,0
140,0,0,0,0
141,32,0,0,0
142,912,0,0,1
143,192,0,0,0
144,0,0,0,0
145,560,0,0,0
146,0,0,0,0
147,2016,0,0,0
148,96,0,0,0
149,96,0,0,0
150,288,0,0,0
151,224,0,0,0
152,1168,0,0,1
153,32,0,0,0
154,240,0,0,0
155,96,0,0,0
156,400,0,0,0
157,48,0,0,0
158,2880,0,0,0
159,2528,1,0,1
160,16,0,0,0
161,0,0,0,0
162,3232,0,150,0
163,528,0,0,0
164,26576,0,150,2
165,368,0,0,0
166,528,0,0,0
167,416,0,0,0
168,2064,0,0,0
169,1296,0,0,0
170,4656,0,0,6
171,1232,0,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,2304,0,0,0
176,0,0,0,0
177,0,0,0,0
178,64,0,0,1
179,496,0,0,0
180,464,0,0,0
181,0,0,0,0
182,16,0,0,0
183,16,0,0,0
184,0,0,0,0
185,160,0,0,1
186,0,0,0,0
187,1504,0,0,0
188,6768,1,0,1
189,1808,0,125,1
190,0,0,0,0
191,144,0,0,0
192,0,0,0,0
193,80,0,0,0
194,0,0,0,0
195,192,0,0,0
196,2016,0,0,0
197,16,0,0,0
198,0,0,0,0
199,544,0,75,0
200,1408,1,0,0
201,0,0,0,0
202,0,0,0,0
203,2416,1,0,0
204,16,0,0,0
205,544,0,0,1
206,0,0,0,0
207,0,0,0,0
208,48,0,0,0
209,64,0,0,0
210,528,0,0,0
211,16,0,0,0
212,4016,0,0,1
213,16,0,0,0
214,34112,0,0,4
215,16,0,0,0
216,0,0,0,0
217,3952,0,1150,8
218,1296,1,0,0
219,128,0,0,0
220,7856,1,0,1
221,80,0,0,0
222,11440,0,200,1
223,0,0,0,0
224,48,0,0,0
225,992,0,0,0
226,0,0,0,0
227,0,0,0,0
228,864,0,0,1
229,3920,0,0,1
230,2912,0,0,0
231,336,0,0,0
232,0,0,0,0
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,48,0,0,1
237,0,0,0,0
238,16,0,0,0
239,23392,2,100,3
240,16,0,0,0
241,16,0,0,0
242,1136,0,25,0
243,0,0,0,0
244,144,1,0,0
245,528,0,75,0
246,32,0,0,0
