population,hospitals,mobilehomes,psubstations
16,0,0,0
0,0,0,0
1088,0,0,0
32,0,0,0
624,0,0,1
0,0,0,0
240,2,225,0
336,0,0,0
16,0,0,1
576,0,0,0
832,0,0,1
1616,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
16,0,0,0
4176,0,0,3
544,0,0,3
0,0,0,0
64,0,0,0
32,0,0,0
704,1,0,0
1488,0,75,2
5232,0,0,1
0,0,0,0
48,0,0,1
560,1,0,3
18576,0,25,2
0,0,0,1
1984,0,0,0
1984,0,0,1
3296,0,0,2
16,0,0,0
496,0,0,1
1392,0,0,0
64,0,0,1
16,0,0,0
1040,0,0,0
48,0,0,0
7776,0,225,7
32,0,0,0
96,0,0,1
1392,0,0,0
32,0,0,0
0,0,0,0
160,0,0,0
32,0,0,0
2752,0,0,0
80,0,0,0
32,0,0,0
0,0,0,0
528,0,0,0
16,0,0,0
1792,0,0,1
48,0,0,0
80,0,0,1
32,0,0,0
48,0,0,0
0,0,0,0
16,0,0,2
29696,7,125,4
80,0,0,0
112,0,0,2
3216,0,0,1
16,0,0,0
160,1,0,1
0,0,0,0
64,0,0,0
16,0,0,0
16,0,0,0
64,0,0,0
80,0,0,1
16,0,0,0
32,0,0,2
496,0,0,1
336,0,0,0
0,0,0,0
16,0,0,0
2064,1,25,1
432,0,0,1
192,0,0,1
80,0,0,2
688,0,50,0
48,0,0,0
96,0,0,1
80,0,0,0
128,0,0,0
2496,0,75,0
5248,0,100,5
2528,0,75,0
176,0,0,0
176,0,0,0
96,0,0,0
0,0,0,0
112,0,0,1
80,0,0,2
0,0,0,0
160,0,0,0
128,0,0,0
16,0,0,0
432,0,0,0
1184,0,0,2
1232,0,0,1
624,0,0,1
15120,2,125,1
64,0,0,0
528,0,0,1
112,0,0,0
192,0,0,2
1712,0,0,1
1040,0,0,1
16,0,0,0
32,1,0,1
256,0,0,1
400,0,0,0
64,0,0,0
128,0,0,0
48,0,0,0
656,0,125,1
144,0,0,2
736,0,0,0
128,0,0,1
0,0,0,0
80,0,0,1
16,0,0,1
112,0,0,1
3312,0,0,2
448,0,0,0
464,0,0,0
224,0,0,0
2496,0,75,0
79072,1,50,4
176,0,0,4
512,0,0,1
8656,1,25,1
16,0,0,0
48,0,0,0
16,0,0,0
16,0,0,0
5984,0,0,0
336,0,0,3
0,0,0,0
80,0,0,0
4032,0,0,3
608,0,0,0
112,0,50,0
13328,0,175,2
16,0,0,0
80,0,0,0
16,0,0,0
352,0,0,0
0,0,0,0
176,0,0,0
160,0,0,1
14928,2,150,1
16,0,0,0
64,0,0,0
48,0,0,1
0,0,0,0
0,0,0,0
48,0,0,0
1632,0,0,0
1184,0,0,1
544,0,0,0
592,0,0,0
272,0,0,0
80,0,0,0
0,0,0,0
448,0,0,1
320,0,0,1
16,0,0,1
32,0,0,2
64,0,0,0
304,0,0,1
48,0,0,0
384,0,0,0
1168,0,0,0
48,0,0,0
8736,0,275,5
64,0,0,0
48,0,0,0
48,0,0,0
96,0,0,1
864,0,25,3
704,0,0,0
2768,0,0,3
0,0,0,0
80,0,0,2
32,0,0,0
64,0,0,0
0,0,25,0
112,0,0,2
2016,0,0,2
48,0,0,0
32,0,0,0
64,0,0,0
128,0,0,0
0,0,0,1
2048,1,0,4
896,0,0,2
480,0,0,4
480,0,0,0
64,0,0,0
112,0,0,2
384,0,0,0
0,0,0,0
4672,0,0,5
2656,0,0,0
352,0,0,1
0,0,0,0
16,0,0,0
192,0,25,1
16,0,0,0
0,0,0,0
16,0,0,0
16,0,0,0
16,0,0,0
96,0,0,0
0,0,0,0
16,0,0,2
16,0,0,0
96,0,0,0
32,1,25,2
128,0,0,0
0,0,0,0
48,0,0,0
2176,0,0,2
128,0,0,0
32,0,0,3
64,0,0,0
0,0,0,0
48,0,0,0
96,0,0,0
128,0,0,0
32,0,0,0
32,0,0,0
672,0,0,1
52480,0,50,5
304,0,0,0
64,0,0,1
4704,0,0,1
0,0,0,0
144,0,0,1
32,0,0,0
16,0,0,0
912,0,0,3
48,0,0,3
160,1,0,0
112,0,0,2
0,0,0,0
32,0,0,0
16,0,0,1
0,0,0,0
1872,0,0,1
96,0,0,0
112,0,0,0
112,1,25,1
256,0,0,0
0,0,0,0
416,0,0,0
320,0,0,1
112,0,0,1
192,0,0,0
272,1,25,0
80,0,0,0
384,0,25,1
64,2,0,0
0,0,25,0
15568,0,25,0
0,0,0,0
16,0,0,0
128,0,25,0
128,0,0,0
48,0,0,0
32,0,0,0
0,0,0,0
48,0,0,0
48,0,0,0
32,0,0,2
144,0,0,0
0,0,0,0
16,0,0,0
16,0,0,0
16,0,0,0
432,0,0,1
64,0,0,0
0,0,0,0
5488,2,225,1
0,0,0,1
112,0,0,1
16,0,0,0
224,0,0,0
352,0,0,0
112,1,0,1
64,1,0,0
32,0,0,1
0,0,0,0
0,0,0,0
208,0,0,1
48,0,0,1
48,0,0,0
48,0,0,1
3792,0,0,0
48,0,0,0
64,0,0,0
48,0,0,0
2128,0,0,0
416,0,0,0
240,0,0,0
128,0,0,0
48,0,0,0
2384,0,75,0
1552,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
80,0,0,2
224,0,0,0
144,0,0,0
48,0,0,0
192,0,0,0
9504,0,475,4
64,0,0,1
64,0,0,0
2944,0,0,0
96,0,0,0
96,0,0,0
13232,0,25,0
80,0,0,1
6672,0,450,7
80,0,0,0
1296,0,0,3
48,0,0,0
560,0,0,0
2624,0,0,0
80,0,0,0
80,0,0,0
0,0,0,0
176,0,25,2
16,0,0,0
16,0,0,0
3696,0,250,2
3808,0,0,0
160,0,0,0
240,0,0,0
80,0,0,1
16,0,0,0
224,0,0,4
2864,0,0,1
0,0,0,0
1104,0,0,0
64,0,0,0
80,0,0,0
512,1,0,2
48,0,0,0
112,0,0,0
32,0,0,0
96,0,0,0
48,0,0,0
400,0,0,3
32,0,0,0
160,0,0,1
0,0,0,0
48,0,0,0
176,0,0,0
464,0,0,0
16,0,0,0
64,0,0,0
288,0,0,0
80,0,0,0
1248,0,0,1
0,0,0,0
0,0,0,0
64,0,0,0
176,0,0,1
64,0,0,2
576,0,0,1
1504,0,0,0
4256,0,0,1
112,0,0,2
144,0,0,2
0,0,0,0
4000,0,0,1
416,0,0,0
1536,1,0,1
144,0,0,0
2016,0,0,1
288,0,0,1
16,0,0,0
12720,0,25,6
144,0,0,0
112,0,0,0
64,0,0,0
96,0,25,1
368,0,0,0
176,0,0,1
2432,1,0,1
160,0,0,1
0,0,0,0
80,0,0,2
3264,0,0,2
816,0,0,4
0,0,0,0
48,0,0,0
3648,0,0,2
0,0,0,0
0,0,0,0
3904,0,0,1
96,0,0,0
0,0,0,0
2736,1,0,1
672,0,0,1
496,0,0,2
240,0,0,1
80,0,0,0
16,0,0,0
32,0,0,1
32,0,0,0
128,0,0,0
64,0,0,0
16,0,0,0
1872,0,0,1
144,0,0,1
1840,0,0,1
96,0,50,0
224,0,0,0
112,0,0,1
16,0,0,1
96,0,0,0
96,0,0,0
128,0,0,0
128,0,50,2
128,0,0,2
1072,0,0,0
3200,0,0,0
688,0,0,0
704,0,75,0
32,1,0,1
432,0,125,3
64,0,0,0
0,0,0,0
848,0,50,0
144,0,0,1
480,0,0,1
0,0,0,0
32,0,0,4
48,0,0,0
704,0,0,0
48,0,0,0
0,0,0,0
320,0,0,0
3056,0,50,0
16,0,0,0
9168,0,0,1
48,0,0,0
2112,0,125,3
6304,0,0,2
2976,0,0,2
144,0,0,0
208,0,25,2
944,0,0,0
0,0,0,0
32,0,0,1
128,0,0,0
464,0,0,1
96,0,0,1
144,0,25,4
16,1,0,1
32,0,0,0
1328,0,0,0
304,0,0,5
0,0,0,0
64,0,0,1
320,0,0,0
16,0,0,0
48,0,0,1
608,0,0,0
1168,0,0,2
48,0,0,0
16,0,0,0
944,1,0,4
0,0,0,0
64,0,0,0
6448,0,0,1
0,0,0,0
64,0,0,1
10256,0,250,12
0,0,0,1
128,0,0,0
784,0,0,2
48,0,0,0
