population,hospitals,mobilehomes,psubstations
3728,0,0,0
0,0,0,0
656,0,0,0
0,0,0,0
304,0,0,1
0,0,0,0
0,0,0,0
928,0,0,0
8352,0,0,0
288,0,0,0
0,0,0,0
1632,0,25,3
0,0,0,0
352,0,0,0
0,0,0,0
24304,1,0,2
0,0,0,0
2288,0,0,0
1168,0,0,0
0,0,0,0
0,0,0,0
80,0,0,0
1472,0,0,1
2352,0,0,0
800,0,0,1
144,0,0,1
656,0,0,0
0,0,0,0
32,0,0,0
16448,0,25,2
1328,0,0,0
11936,0,50,5
1040,0,0,0
0,0,0,0
1072,0,0,0
1056,0,0,1
544,1,75,4
160,0,0,0
544,0,375,0
2416,0,0,0
928,2,50,0
416,0,0,0
176,0,0,0
1680,0,50,2
0,0,0,0
0,0,0,0
3280,0,125,3
2080,0,75,4
3008,0,25,0
0,0,0,0
544,0,50,1
64,0,0,0
0,0,0,0
672,0,0,0
0,0,0,0
992,0,50,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
624,0,0,0
0,0,0,0
0,0,0,0
48,0,0,1
112,0,0,0
96,0,0,0
0,0,0,0
608,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4208,0,25,1
608,0,0,0
0,0,0,0
288,0,0,0
432,0,0,0
224,0,0,0
0,0,0,0
256,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
192,0,0,0
912,0,0,1
0,0,0,0
80,0,0,0
16,0,0,0
4800,0,250,0
6576,0,0,0
240,0,0,0
2560,0,100,5
320,0,0,0
656,0,100,0
0,0,0,0
0,0,0,0
37296,3,100,2
1872,0,0,0
32,0,0,0
7024,1,275,3
0,0,0,0
784,0,150,0
112,0,0,0
384,0,0,0
224,1,0,1
7632,0,0,1
352,0,0,0
1104,0,0,0
0,0,0,0
288,0,0,0
816,0,0,3
5536,0,0,0
0,0,0,0
304,0,0,0
0,0,0,0
0,0,0,0
368,0,0,0
1504,0,0,0
0,0,0,0
288,0,0,0
12432,0,150,1
0,0,0,0
0,0,0,0
208,0,0,0
256,0,0,0
496,0,0,0
848,0,50,0
0,0,0,0
0,0,0,0
112,0,0,0
4608,1,0,2
80,0,0,1
4048,0,150,0
224,0,0,0
0,0,0,0
1664,0,0,2
3456,0,250,1
0,0,0,0
0,0,0,0
1408,0,0,1
192,0,0,0
256,0,0,0
0,0,0,0
0,0,0,0
240,0,0,0
0,0,0,0
13664,0,100,1
160,0,0,0
1792,0,25,0
288,0,0,1
608,0,0,0
368,0,0,0
2000,0,0,0
528,0,0,0
0,0,0,0
2224,0,0,2
64,0,0,0
64,0,0,0
336,0,100,1
80,0,0,0
0,0,0,0
0,0,0,0
1056,0,0,0
1232,0,0,0
1680,0,0,2
19216,0,75,0
1120,0,0,2
0,0,0,0
96,0,0,0
800,0,0,0
1984,0,0,1
0,0,0,0
2960,1,25,1
80,0,0,0
608,0,0,0
528,0,0,0
0,0,0,0
18480,0,75,4
224,0,0,0
0,0,0,0
720,0,25,0
640,0,0,0
896,0,0,0
64,0,0,0
768,0,0,1
0,0,0,0
1120,0,0,0
5072,1,25,1
0,0,0,0
1088,0,0,0
1504,0,25,2
16,0,0,0
2368,0,0,0
32,0,0,0
24304,1,0,1
720,0,0,0
288,0,0,0
0,0,0,0
208,0,0,0
992,0,0,2
2080,0,0,0
4160,0,0,0
176,0,0,0
4352,1,75,3
3136,1,325,1
240,0,0,0
752,0,0,1
800,0,0,0
1088,0,25,2
64,0,0,0
6480,1,100,4
864,0,0,0
1792,0,0,1
1776,1,75,0
0,0,0,0
16,0,0,0
0,0,0,0
560,0,0,0
1808,0,0,0
0,0,0,0
432,0,0,1
0,0,0,0
848,0,0,0
240,0,0,0
224,0,0,0
0,0,0,0
6384,0,75,5
1168,0,0,0
176,0,0,0
0,0,0,0
1168,0,0,0
0,0,0,0
80,0,0,0
208,0,25,0
1040,1,25,1
304,0,50,0
0,0,0,0
224,0,0,0
96,0,0,0
4768,0,0,1
352,0,50,0
0,0,0,0
0,0,0,0
992,0,0,0
0,0,0,0
1056,0,0,1
96,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
656,0,50,0
176,0,0,0
224,0,0,1
0,0,0,0
2320,0,0,1
0,0,0,0
832,0,0,0
0,0,0,0
25632,0,100,1
15200,0,250,1
2672,0,0,0
1600,0,25,0
368,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
528,0,0,0
1984,0,25,2
0,0,0,0
1568,0,0,0
4928,0,25,0
48,0,0,0
336,0,0,0
1904,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
480,0,0,0
16,0,0,0
768,0,0,2
2144,0,75,1
368,0,0,0
0,0,0,0
560,0,25,2
0,0,0,0
16,0,0,0
896,0,0,0
464,0,0,0
736,0,50,1
752,0,100,1
1072,0,25,0
20592,2,75,4
80,0,0,0
592,1,25,0
1072,0,0,0
96,0,0,0
320,0,0,0
0,0,0,0
3504,0,0,1
0,0,0,0
3248,1,0,1
272,0,0,0
2960,1,25,1
1344,0,0,0
688,0,0,0
688,1,0,0
1872,0,25,0
4368,2,75,1
32,0,0,0
2448,0,50,0
336,0,0,0
144,0,0,0
1424,0,0,0
304,0,25,0
1440,0,0,0
3504,0,0,0
2208,0,75,0
13744,0,175,5
48,0,0,0
256,0,0,0
0,0,0,0
0,0,0,0
80,0,0,0
80,0,0,0
0,0,0,0
16,0,0,0
320,0,0,0
0,0,0,0
12384,0,175,1
0,0,0,0
1904,0,0,1
544,0,0,0
0,0,0,0
464,0,0,0
96,0,0,0
2752,0,0,0
464,0,0,0
128,0,0,0
0,0,0,0
0,0,0,0
272,0,0,0
3904,0,0,1
208,0,0,0
1440,0,0,0
368,0,0,0
896,0,0,0
25056,0,0,0
0,0,0,0
0,0,0,0
592,0,0,0
320,0,0,0
592,0,0,0
0,0,0,0
0,0,0,0
816,0,0,0
12768,0,25,0
608,0,75,0
4880,0,25,0
5120,0,25,0
0,0,0,0
880,0,25,0
0,0,0,0
1808,0,0,0
0,0,0,0
1184,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
13632,0,200,1
3344,0,0,0
0,0,0,0
192,0,0,0
368,0,0,0
160,0,0,0
480,0,0,0
0,0,0,0
80,0,0,0
336,0,0,0
2016,0,25,0
704,0,0,0
1264,0,0,0
96,0,0,0
512,0,0,0
64,0,0,0
848,0,100,1
1088,0,0,0
160,0,0,0
800,0,0,0
0,0,0,0
128,0,0,0
752,0,0,0
3744,0,25,0
0,0,0,0
3760,0,0,0
2336,0,0,1
256,0,0,1
176,0,0,0
3440,0,250,3
2576,0,0,0
0,0,0,0
272,1,25,0
16,0,0,0
0,0,0,0
48,0,0,0
0,0,0,0
896,0,0,0
0,0,0,0
208,0,0,1
80,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
272,0,0,0
2320,0,25,1
784,0,0,0
0,0,0,0
0,0,0,0
848,0,0,3
224,0,50,0
2464,0,50,1
7200,1,0,4
2176,0,0,0
1056,0,0,3
208,0,0,0
0,0,0,0
544,0,0,0
0,0,0,0
800,0,25,0
1120,0,25,0
0,0,0,0
2864,0,0,0
368,0,0,0
0,0,0,0
928,1,75,1
208,0,0,0
288,0,0,1
128,0,0,0
128,0,0,0
4736,0,0,0
32,0,0,0
0,0,0,0
0,0,0,0
5168,0,75,0
48,0,0,0
6160,2,25,2
0,0,0,0
304,0,0,0
1936,0,25,2
0,0,0,0
0,0,0,0
64,0,0,0
896,0,0,0
0,0,0,0
512,0,0,1
400,1,25,1
64,0,0,0
576,0,0,0
0,0,0,0
0,0,0,0
304,0,0,0
304,0,0,0
1664,0,50,0
0,0,0,0
304,0,75,2
0,0,0,0
208,0,0,0
2480,0,0,0
272,0,0,1
0,0,0,0
2160,0,0,0
1696,0,0,0
1936,0,0,0
224,0,0,0
0,0,0,0
2480,0,0,0
176,0,0,1
704,0,0,0
352,0,0,0
416,0,0,0
0,0,0,0
656,0,0,0
176,0,0,0
0,0,0,0
208,0,0,0
1712,0,0,1
1344,0,25,1
0,0,0,0
0,0,0,0
0,0,0,0
1040,0,0,1
23024,0,0,3
0,0,0,0
80,0,0,0
0,0,0,0
0,0,0,0
1824,0,100,1
32,0,0,0
208,0,0,0
64,0,0,0
176,0,0,0
0,0,0,0
0,0,0,0
496,0,0,0
736,0,75,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
864,0,0,0
0,0,0,0
192,0,25,0
1232,0,0,0
880,0,0,0
672,0,0,0
0,0,0,0
4016,0,75,1
176,0,0,0
4080,0,0,0
7456,0,25,3
880,0,25,1
64,0,0,0
2816,1,150,2
512,0,0,0
464,0,0,0
704,0,0,0
9744,0,25,3
368,0,0,0
2128,0,0,0
64,0,0,0
0,0,0,0
0,0,0,0
2336,0,0,1
0,0,0,0
10528,0,0,2
3696,0,0,0
128,0,0,0
0,0,0,0
176,0,0,0
1120,0,0,1
544,0,0,0
416,0,0,0
0,0,0,0
432,0,0,0
864,0,0,0
880,0,0,0
2048,0,0,0
1456,0,75,1
2896,0,0,2
816,0,25,0
128,0,0,0
256,0,0,0
240,0,0,0
0,0,0,0
256,0,0,0
0,0,0,0
448,0,0,0
3088,0,0,1
192,0,0,1
432,0,0,0
96,0,0,0
0,0,0,0
