population,hospitals,mobilehomes,psubstations
0,0,0,0
0,0,0,0
16,0,0,0
0,0,0,0
128,0,0,1
16,0,0,0
0,0,0,0
176,0,0,0
0,0,0,0
1456,1,100,1
288,0,0,1
0,0,0,0
19600,0,25,1
16,0,0,0
112,0,0,0
64,0,0,0
2096,0,0,0
15328,0,0,3
64,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
688,0,0,0
368,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
400,0,25,2
64,0,0,1
4016,0,0,0
0,0,0,0
3520,0,25,0
32,0,0,0
16,0,0,0
32,0,0,0
464,0,0,0
4544,1,0,3
80,0,0,0
48,0,0,0
496,0,0,2
80,0,0,0
32,0,0,0
768,1,150,5
16,0,0,1
0,0,0,0
64,0,0,1
0,0,0,0
32,0,0,0
416,0,0,0
0,0,0,0
32,0,0,0
64,0,0,1
1056,0,0,0
0,0,0,0
5568,0,0,2
64,0,0,0
16,0,0,1
272,0,125,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
256,0,0,0
112,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
0,0,0,0
0,0,0,1
16,0,0,0
48,0,0,4
880,0,0,1
0,0,0,0
0,0,0,1
0,0,0,0
16,0,0,0
0,0,0,0
5872,0,125,3
2192,0,0,0
16,0,0,0
11344,0,0,0
67328,0,0,1
80,0,0,2
15520,0,525,3
16,0,0,0
912,0,0,3
80,0,0,2
192,0,125,4
96,0,0,0
160,0,0,0
0,0,0,0
368,0,0,2
0,0,0,0
752,0,0,0
16,0,0,0
0,0,0,0
1808,0,0,0
64,0,0,2
0,0,0,0
0,0,0,0
5024,0,125,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
64,0,0,1
0,0,0,1
112,0,0,1
0,0,0,0
368,0,0,1
64,0,0,1
96,0,0,2
0,1,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
35456,0,0,1
1280,2,0,4
64,0,0,0
0,0,0,0
128,0,0,0
336,0,0,1
0,0,0,0
112,0,0,1
608,0,0,2
0,0,0,0
0,0,0,0
16,0,0,0
368,0,0,2
16,0,0,3
6304,0,0,6
0,0,0,0
22784,0,500,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
256,0,50,2
64,0,0,3
16,0,0,0
