sim,population,hospitals,mobilehomes,psubstations
1,0,0,0,0
2,352,0,0,0
3,336,0,0,0
4,368,0,0,1
5,1760,0,0,0
6,0,0,0,0
7,80,0,0,0
8,592,0,0,0
9,496,0,0,0
10,1008,0,325,0
11,0,0,0,0
12,0,0,0,0
13,448,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,464,0,0,3
19,0,0,0,0
20,0,0,0,0
21,288,0,0,0
22,0,0,0,0
23,112,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,688,0,100,1
28,0,0,0,0
29,1072,0,0,0
30,0,0,0,0
31,720,0,0,0
32,2784,0,25,2
33,2384,0,50,3
34,336,0,0,0
35,816,0,0,0
36,384,0,0,0
37,1376,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,800,0,0,0
43,1872,0,0,1
44,0,0,0,0
45,0,0,0,0
46,2128,0,50,2
47,4048,0,0,1
48,672,0,0,0
49,0,0,0,0
50,1136,0,0,1
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,1216,0,0,0
55,80,0,0,0
56,0,0,0,0
57,304,0,0,0
58,2272,0,75,1
59,64,0,0,0
60,0,0,0,0
61,144,0,0,0
62,1232,0,0,1
63,0,0,0,0
64,400,0,0,1
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,992,0,0,0
70,0,0,0,0
71,0,0,0,0
72,2528,0,25,3
73,2288,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,240,0,0,0
78,1792,0,0,0
79,256,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,5200,0,25,2
85,0,0,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,496,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,176,0,0,0
95,0,0,0,0
96,192,0,0,0
97,672,0,25,0
98,4096,0,0,0
99,2128,0,0,1
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,5440,0,25,1
107,0,0,0,0
108,0,0,0,0
109,368,0,0,0
110,64,0,0,0
111,0,0,0,0
112,1840,0,0,4
113,0,0,0,0
114,0,0,0,0
115,256,0,0,0
116,0,0,0,0
117,160,0,0,1
118,0,0,0,0
119,0,0,0,0
120,80,0,0,1
121,160,0,0,0
122,0,0,0,0
123,0,0,0,0
