sim,population,hospitals,mobilehomes,psubstations
1,1808,0,0,4
2,34912,2,25,15
3,3328,0,25,2
4,6352,0,125,12
5,23280,0,175,15
6,6960,0,75,5
7,26032,1,0,12
8,27184,3,375,13
9,40160,1,75,19
10,105920,3,300,11
11,9152,1,25,5
12,5728,1,125,10
13,3216,0,0,4
14,2880,0,0,0
15,22432,0,75,12
16,15824,0,25,9
17,8032,0,50,2
18,118816,9,750,34
19,58512,3,525,14
20,5152,0,100,6
21,37664,2,125,5
22,4928,0,50,14
23,46224,0,250,14
24,36720,2,175,21
25,14896,0,200,7
26,2112,0,0,3
27,34432,0,75,11
28,22560,4,150,11
29,45344,1,75,24
30,14000,1,300,13
31,28976,2,225,10
32,55440,2,50,15
33,18448,0,0,15
34,592,0,0,3
35,16032,0,0,6
36,42960,3,250,22
37,39920,2,25,9
38,1792,0,100,5
39,25920,2,25,8
40,14560,1,125,15
41,7584,0,0,4
42,16400,0,75,9
43,36208,2,450,21
44,9056,0,0,7
45,3216,0,0,4
46,20144,0,75,5
47,21152,0,175,6
48,54096,0,150,12
49,39760,5,600,16
50,77472,4,475,23
51,25632,1,325,12
52,4112,1,125,4
53,864,0,0,0
54,10832,0,50,6
55,2128,0,0,2
56,11344,0,0,10
57,8560,1,25,4
58,11232,0,25,13
59,17440,0,50,20
60,1392,0,0,0
61,5696,0,0,6
62,26832,4,200,17
63,7520,0,75,6
64,12608,2,125,10
65,60672,2,975,25
66,5280,1,75,4
67,17168,0,0,1
68,21216,0,25,10
69,43920,1,50,15
70,2656,2,25,4
71,17152,0,0,8
72,37104,0,75,8
73,9088,1,150,18
74,51248,1,175,4
75,3472,1,0,1
76,4240,1,0,7
77,11984,1,150,16
78,55984,6,0,17
79,14000,2,150,13
80,4656,0,0,9
81,27280,1,500,12
82,21696,1,150,13
83,61056,3,175,5
84,58624,0,200,17
85,7616,0,200,4
86,25632,2,25,7
87,23920,0,125,9
88,75728,2,925,40
89,32832,1,50,6
90,21584,1,75,16
91,7424,0,25,13
92,5008,1,175,5
93,83184,6,350,11
94,16288,1,0,7
95,880,0,0,1
96,4848,1,0,13
97,77904,5,275,24
98,17248,0,25,6
99,64496,6,275,18
100,10768,1,75,6
101,3696,0,0,3
102,15600,0,25,13
103,61280,4,675,27
104,13648,1,25,7
105,25616,2,425,18
106,32240,1,0,10
107,21184,0,50,5
108,8336,0,25,4
109,29088,2,75,10
110,83552,1,75,16
111,2144,0,0,3
112,51392,2,0,23
113,2176,0,0,4
114,1648,0,0,1
115,50256,2,325,10
116,3040,0,150,7
117,6512,0,200,11
118,40992,4,800,13
119,23104,0,0,17
120,6064,0,0,18
121,36320,2,375,18
122,12480,2,25,7
123,52000,1,50,18
124,28016,0,0,6
125,9600,4,175,15
126,2784,0,125,5
127,26016,0,500,8
128,21456,4,100,14
129,3232,2,125,3
130,8048,1,75,11
131,10448,1,375,4
132,5072,0,125,6
133,26272,1,175,4
134,32112,0,0,8
135,3648,0,0,0
136,36656,1,175,10
137,5120,0,25,2
138,3312,0,0,2
139,2176,0,100,1
140,15520,2,75,17
141,11072,4,50,9
142,136240,9,400,29
143,22096,0,25,2
144,36640,0,25,9
145,37712,1,150,1
146,34128,0,0,3
147,9664,2,100,8
148,4048,0,0,5
149,7504,0,0,3
150,11552,1,175,16
151,30528,3,225,21
152,28720,1,0,21
153,17888,0,125,8
154,5312,0,0,5
155,7328,0,0,7
156,22912,1,600,11
157,10608,1,150,3
158,51600,0,225,13
159,14736,1,0,12
160,9536,0,0,4
161,63040,1,300,11
162,2208,0,25,0
163,12208,2,75,15
164,30912,4,150,7
165,49792,5,425,40
166,79712,6,175,13
167,12528,1,25,5
168,23408,0,25,8
169,10144,2,125,8
170,36432,0,375,23
171,41760,4,550,21
172,1488,0,0,2
173,97712,5,550,16
174,102544,4,175,24
175,68288,1,75,13
176,37680,0,275,11
177,19184,0,25,9
178,69808,2,550,40
179,49328,1,200,11
180,8544,0,75,6
181,8368,0,300,8
182,3632,1,0,9
183,40832,1,25,5
184,10608,1,75,4
185,28656,1,25,23
186,3648,0,25,6
187,29568,0,0,15
188,20080,3,350,12
189,2000,0,0,4
190,5232,0,200,4
191,37280,1,175,10
192,8976,0,275,4
193,81776,8,175,36
194,7136,1,50,6
195,46688,5,600,26
196,57536,2,250,18
197,28720,4,150,10
198,32576,1,400,9
199,26352,1,200,9
200,100976,1,275,31
201,15568,0,25,11
202,55264,3,325,14
203,7696,2,0,5
204,4896,0,100,14
205,37168,5,500,10
206,5264,0,0,1
207,112240,5,300,15
208,23728,2,50,13
209,2976,1,0,6
210,5184,0,125,5
211,7360,0,0,9
212,15920,0,25,4
213,1088,0,50,4
214,8688,0,150,5
215,12048,1,25,6
216,109392,5,750,16
217,1696,0,0,6
218,37760,0,275,6
219,44096,3,125,16
220,6768,0,25,3
221,24864,1,0,9
222,14512,0,75,7
223,37344,3,0,6
224,51200,1,175,11
225,17920,0,25,5
226,10032,0,75,1
227,5424,1,0,4
228,25760,1,75,25
229,64480,3,150,14
230,32144,0,0,3
231,89616,1,275,23
232,9904,0,25,7
233,41856,4,625,8
234,15072,0,25,3
235,16688,2,50,18
236,6704,0,25,2
237,13552,0,0,3
238,7328,1,175,6
239,63152,3,675,20
240,6864,0,175,3
241,9136,2,25,14
242,1232,2,0,3
243,12384,0,450,10
