population,hospitals,mobilehomes,psubstations
1376,0,0,4
24144,1,0,6
3360,0,25,2
3632,0,125,7
14080,0,175,14
4240,0,75,4
25312,1,0,6
26672,3,375,13
54832,2,400,21
101616,3,275,7
4320,1,25,4
3456,0,75,7
2160,0,0,3
1008,0,0,0
15216,0,0,6
15808,0,25,9
6608,0,0,1
81280,6,575,28
57744,3,500,14
2752,0,0,3
36608,2,125,5
3376,0,0,7
33232,0,225,5
38368,0,175,17
9552,0,125,4
784,0,0,1
23872,0,0,9
19520,0,0,4
44064,2,50,20
13264,1,300,13
2816,1,0,3
20432,1,25,4
12880,0,0,13
480,0,0,4
14240,1,0,5
37648,3,75,16
37808,2,25,10
1792,0,100,5
24912,1,25,9
2896,1,0,9
5680,0,0,3
15344,0,75,7
30144,2,450,20
6688,0,0,5
944,0,0,3
18656,0,50,3
16736,2,25,5
53536,0,150,12
30512,5,575,15
76800,4,375,22
20304,1,125,6
3952,1,0,2
896,0,0,0
7472,0,25,3
1248,0,0,2
7472,0,0,7
8128,1,25,3
7248,0,25,9
16016,0,0,22
832,0,0,0
3536,0,0,6
26608,4,200,17
7392,0,75,6
10624,2,125,4
60224,2,975,25
3376,0,75,1
10864,0,0,1
14656,0,25,9
41648,1,50,14
384,0,0,0
14864,0,0,7
33472,0,25,3
6752,1,150,18
59216,1,175,4
6224,0,75,1
4160,0,0,4
9504,1,150,16
55824,6,0,16
13408,2,150,11
11408,2,0,5
21824,1,475,8
11616,0,0,4
60512,0,100,3
30000,0,0,12
5904,0,200,3
23264,2,25,6
20624,0,100,7
73984,2,925,40
29696,1,0,2
19296,1,50,14
6304,0,25,14
4128,1,175,3
49568,0,200,2
13392,1,0,5
608,0,0,1
25648,3,100,17
73344,5,175,24
12288,0,25,6
51984,3,175,3
9776,1,75,6
2672,0,0,2
15728,0,25,13
57264,4,675,24
6272,1,25,6
16816,2,200,16
31248,3,25,8
21168,0,50,5
7680,0,25,2
16784,0,25,5
58720,2,50,15
752,1,0,3
51584,2,75,23
3728,2,0,7
720,0,0,0
42080,1,200,5
2832,0,125,4
4224,0,25,3
35952,5,800,10
16864,0,0,12
5792,0,0,16
