population,hospitals,mobilehomes,psubstations
0,0,0,0
1472,0,0,0
784,0,0,0
256,0,0,0
0,0,0,0
1392,0,0,2
112,0,0,0
1968,0,0,1
0,0,0,0
1840,0,0,4
608,0,0,1
336,0,0,0
448,0,0,0
640,1,0,0
112,0,0,0
32,0,0,1
16,0,0,0
0,0,0,0
64,0,50,1
0,0,0,1
224,0,0,1
0,0,0,0
672,0,0,1
2832,0,0,4
48,0,0,0
0,0,0,0
112,0,0,0
928,0,0,1
720,0,0,1
64,0,0,0
4656,0,0,0
16,0,0,0
64,0,0,1
352,1,0,0
672,1,0,2
64,0,0,0
112,0,0,1
0,0,0,0
80,0,0,1
464,0,0,1
224,0,0,0
64,0,0,0
1008,0,0,2
64,0,0,0
0,0,0,0
0,0,0,0
288,0,0,0
2000,0,0,2
96,0,0,0
560,0,0,1
0,0,0,0
880,0,0,1
528,0,0,0
32,0,0,0
480,0,0,0
16,0,0,0
0,0,0,0
48,0,0,1
32,0,0,1
96,1,0,1
0,0,0,0
0,0,0,0
368,0,0,1
2080,0,0,2
0,0,0,0
6608,0,0,1
0,0,0,0
448,0,0,0
48,0,0,0
0,0,0,0
96,0,0,0
160,0,0,1
112,0,0,1
1936,1,0,1
0,0,0,0
80,0,0,0
0,0,0,0
256,0,0,0
1392,0,0,3
112,0,0,0
704,1,0,0
0,0,0,0
272,0,0,0
256,0,0,0
32,0,0,0
16,0,0,0
1296,0,575,5
2224,1,275,7
0,0,0,0
992,0,0,1
0,0,0,0
560,0,0,1
16,0,0,3
1584,0,0,1
0,0,0,0
3920,0,0,0
48,0,0,1
0,0,0,2
16,0,0,0
16,0,0,1
0,0,0,0
48,0,0,0
832,0,0,0
6592,0,0,0
16,0,0,1
11616,0,0,0
0,0,0,0
80,0,0,0
32,0,0,0
320,0,0,3
1680,0,0,1
720,0,0,1
64,0,0,1
96,0,0,2
208,0,0,3
0,0,0,0
800,0,0,0
2016,0,550,5
976,0,0,1
16,0,0,1
512,0,0,1
128,0,0,0
0,0,0,0
176,0,0,2
3248,0,0,1
224,0,0,1
1968,0,0,0
32,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
384,0,0,2
16,0,0,1
160,0,0,0
32,0,0,0
9040,1,75,7
304,0,0,0
16,0,0,0
304,0,0,1
2592,0,0,0
432,0,0,1
32,0,0,0
0,0,0,0
0,0,0,1
32,0,0,0
704,0,0,0
32,0,0,0
384,0,0,1
128,0,0,0
96,0,0,0
224,0,0,1
160,0,0,0
0,0,0,0
32,0,0,0
0,0,0,0
1392,0,0,3
112,0,0,1
16,0,0,0
192,0,0,1
16,0,0,1
528,0,0,2
0,0,0,0
1584,0,0,0
112,0,0,0
16,0,0,0
12208,0,0,1
16,0,0,0
272,0,0,0
432,0,0,1
80,0,0,0
752,0,0,1
80,0,0,1
400,0,0,0
96,0,0,0
80,0,0,0
688,0,0,2
0,0,0,0
2736,1,0,1
0,0,0,0
0,0,0,0
368,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1008,0,0,2
32,0,0,1
112,0,0,2
624,0,0,0
128,0,0,0
16,0,0,0
224,0,0,0
0,0,0,0
3232,0,0,1
416,0,0,0
864,0,0,2
32,0,0,0
368,0,25,0
1776,0,0,3
704,0,0,0
16,0,0,0
0,0,0,0
64,0,0,0
208,0,0,0
80,0,75,1
48,0,0,2
176,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
112,0,0,0
32,0,0,0
0,0,0,0
80,0,0,0
1696,0,25,0
48,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
16,0,0,0
48,0,0,0
16,0,0,0
0,0,0,0
0,0,0,0
16,0,0,0
48,0,0,0
0,0,0,0
176,0,0,0
416,0,0,0
16,0,0,1
304,0,0,4
1536,1,0,1
0,0,0,0
48,0,0,1
112,0,0,0
0,0,0,0
32,0,0,0
32,0,0,0
80,0,0,0
480,0,0,2
0,0,0,0
1104,0,0,0
0,0,0,0
320,0,0,1
768,0,0,0
720,1,0,0
672,0,0,0
272,0,0,0
80,0,0,0
32,0,0,0
176,0,0,1
768,0,0,2
144,0,0,0
1120,0,0,0
0,0,0,0
2944,1,0,2
0,0,0,0
912,0,0,0
592,0,0,0
16,0,0,1
112,0,0,2
496,0,0,2
80,0,0,0
0,0,0,0
528,1,50,1
32,0,0,0
96,0,0,0
1296,0,0,0
16,0,0,0
240,0,0,1
176,0,25,0
1360,0,0,0
16,0,0,0
64,1,0,0
64,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1792,0,75,0
64,0,0,1
1104,0,0,0
64,0,0,0
16,0,0,0
0,0,0,0
4608,1,25,1
544,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
208,0,0,2
0,0,0,0
16,0,0,0
352,0,0,4
48,0,0,1
0,0,0,0
432,0,0,1
0,0,0,0
144,0,0,0
48,0,0,2
320,0,0,2
3600,0,0,0
0,0,0,0
448,1,125,1
592,0,0,2
16,0,0,1
0,0,0,0
0,0,0,0
4608,0,0,0
16,0,0,1
96,0,0,0
160,0,0,3
0,0,0,1
16,0,0,0
32,0,0,0
32,0,0,1
960,0,0,1
240,0,0,0
336,0,0,0
192,0,0,0
96,0,0,0
16,0,0,0
432,0,0,0
32,0,0,1
0,0,0,0
864,0,0,0
0,0,0,0
192,0,0,0
16,0,0,0
288,0,0,0
16,0,0,1
0,0,0,0
32,0,0,2
40048,0,0,7
32,0,0,2
176,0,0,0
640,0,0,1
160,0,0,0
32,0,0,0
0,0,0,0
208,1,50,0
672,0,0,1
832,0,0,2
48,0,0,0
0,0,0,0
144,0,0,1
32,0,0,0
32,0,0,0
512,0,0,0
672,0,0,2
144,0,0,0
48,0,0,0
0,0,0,0
48,1,0,0
544,0,0,4
11808,0,0,0
0,0,0,0
3808,1,0,1
144,0,0,0
288,0,0,1
448,0,0,0
192,0,175,3
16,0,0,0
0,0,0,0
864,0,0,0
0,0,0,0
272,0,0,0
0,0,0,0
32,0,0,2
208,1,0,1
32,0,0,0
64,0,0,0
4880,0,0,0
0,0,0,0
32,0,0,0
64,0,0,0
192,0,175,0
1360,0,0,0
32,0,25,3
112,0,0,0
48,0,0,0
0,0,0,0
48,0,0,1
80,0,0,4
0,0,0,0
0,0,0,2
48,0,0,1
32,0,0,1
32,0,0,0
48,0,0,0
64,0,0,0
32,0,0,0
144,0,0,0
1168,0,0,0
0,0,0,1
416,1,0,0
128,0,0,1
0,0,0,0
4064,0,0,1
16,0,0,0
592,0,0,0
0,0,0,0
0,0,0,0
176,0,0,2
144,0,0,0
16,0,0,0
208,0,25,0
1008,1,0,0
320,0,0,1
96,0,0,0
32,0,0,0
384,0,0,0
32,0,0,0
64,1,0,1
1456,0,0,0
0,0,0,0
80,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
352,0,0,0
64,0,0,0
144,0,0,2
80,0,0,0
64,0,0,1
208,0,0,2
48,0,0,2
0,0,0,0
0,0,0,0
32,0,0,2
512,0,0,0
0,0,0,0
0,0,0,0
992,0,0,2
128,0,0,0
0,0,0,0
16,0,0,0
16,0,0,0
16,0,0,0
656,0,0,0
1296,0,0,0
32,0,0,0
128,0,0,0
624,0,0,0
128,0,0,0
80,0,0,0
0,0,0,0
1792,0,50,0
48,0,0,1
0,0,0,1
0,0,0,0
1968,0,0,0
0,0,0,0
16,1,0,0
16,0,0,1
208,0,25,3
160,0,0,0
528,0,0,1
112,0,0,0
48,0,0,1
128,0,0,1
352,0,325,3
16,0,0,1
0,0,0,0
0,0,0,0
352,0,0,0
720,0,0,1
6640,0,0,3
32,0,0,0
0,0,0,0
0,0,0,0
256,0,0,1
0,0,0,0
48,0,0,0
0,0,0,0
0,0,0,0
48,0,0,0
592,0,0,1
80,0,0,0
16,0,0,1
416,2,25,2
0,0,0,0
1920,0,0,0
1648,0,0,0
2336,0,0,4
0,0,0,0
16,0,0,0
640,0,0,0
0,0,0,0
16,0,0,0
416,0,0,2
320,0,0,2
0,0,0,0
128,0,0,3
0,0,0,0
336,0,0,0
48,0,0,0
736,0,50,1
48,0,0,0
96,0,0,1
160,0,0,1
0,0,0,0
192,0,0,1
0,0,0,0
48,0,0,1
0,0,0,2
0,0,0,1
80,0,0,0
48,0,0,0
720,0,0,1
208,0,0,0
560,0,0,0
208,0,0,0
304,0,0,0
672,0,0,0
16,0,0,0
8688,0,0,3
16,0,0,0
240,0,0,0
16,0,0,0
16,0,0,0
32,0,0,0
0,0,0,1
336,0,0,1
192,0,0,0
1008,0,0,0
1408,0,0,1
160,0,0,3
6128,0,50,0
416,0,0,0
6256,0,0,0
32,0,0,0
480,0,0,2
48,0,0,0
96,0,0,3
16,0,0,0
80,0,0,0
0,0,0,0
144,0,0,0
1104,1,0,0
0,0,0,0
96,0,0,1
96,0,0,3
1200,0,0,4
48,0,0,0
32,0,0,0
0,0,0,0
960,1,0,1
96,0,0,0
208,0,0,0
208,0,0,2
0,0,0,0
16,0,0,0
48,0,0,1
16,0,0,0
288,0,0,0
0,0,0,0
48,0,0,0
16,0,0,0
704,0,0,0
80,0,0,3
720,0,0,0
0,0,0,0
112,0,0,0
16,0,0,0
224,0,0,2
0,0,0,0
0,0,0,0
16,0,0,0
256,0,0,2
160,0,0,0
48,0,0,0
1200,0,0,2
288,0,0,1
1712,0,0,0
0,0,0,0
176,0,0,2
224,0,0,0
80,1,0,0
16,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
272,0,0,0
1056,1,0,0
560,0,0,2
1152,0,0,0
32,0,0,0
80,0,0,0
800,0,0,0
0,0,0,0
240,0,0,0
2304,0,25,1
368,0,0,1
64,0,25,3
0,0,0,0
464,0,0,0
0,0,0,0
0,0,0,0
384,0,0,0
1440,0,0,1
48,0,0,0
288,0,0,0
32,0,0,0
0,0,0,0
176,0,0,0
32,0,0,0
64,1,0,0
1888,0,0,3
336,0,0,0
32,0,0,0
400,0,0,0
0,0,0,0
1328,0,0,0
48,0,0,0
656,0,0,3
976,0,0,0
272,0,0,0
2688,0,0,2
1296,1,25,2
16,0,0,0
16,0,0,0
0,0,0,0
176,0,0,0
16,0,0,1
0,0,0,0
4400,0,25,10
32,0,0,0
0,0,0,0
96,0,0,0
32,0,0,0
112,0,0,1
2176,0,0,0
352,0,50,0
48,0,0,1
640,0,0,0
608,1,25,4
1072,0,0,1
640,0,200,0
48,1,25,1
160,0,0,0
0,0,0,0
2736,0,0,2
0,0,0,0
80,0,0,1
16,0,0,0
224,0,0,1
0,0,0,0
128,0,0,0
4656,0,0,0
128,0,0,2
624,0,0,1
3152,1,0,0
1408,0,0,0
48,0,0,0
0,0,0,0
2048,0,0,0
928,0,0,1
