population,hospitals,mobilehomes,psubstations
2464,0,0,0
25904,1,100,9
128,0,0,0
2944,0,0,4
11392,0,0,2
2880,0,0,0
832,0,0,0
592,0,0,0
992,0,0,1
4640,0,0,2
4192,0,0,0
2736,1,75,6
1152,0,0,1
1872,0,0,0
7296,0,75,6
21120,1,125,16
5040,0,50,1
37856,3,175,6
944,0,25,0
2448,0,100,5
15680,0,25,2
1584,0,50,7
14656,0,25,9
5376,2,0,7
5360,0,75,3
1376,0,0,2
10496,0,75,2
3072,4,150,7
1872,0,25,5
880,0,0,1
26240,1,225,7
35024,1,25,11
15552,0,0,4
128,0,0,0
2896,0,0,3
5312,0,175,6
4512,0,0,6
1840,0,0,2
4016,1,125,8
19088,0,225,6
2624,0,0,2
4272,0,150,8
4128,2,25,3
2272,0,0,3
2256,0,0,2
1488,0,25,2
4576,0,150,1
12128,3,0,3
7504,0,100,2
848,0,100,1
5984,0,200,6
2336,1,125,2
0,0,0,0
3296,0,25,3
928,0,0,0
4208,0,0,3
2928,0,0,3
6064,0,0,4
2096,0,50,0
1168,0,25,0
3408,0,0,0
10800,0,25,1
160,0,0,0
6400,0,50,6
448,0,0,0
1920,1,0,3
6672,0,0,0
7328,0,0,5
8464,0,25,0
1776,2,25,4
2096,0,0,0
1152,0,0,2
17872,2,275,3
2960,0,0,0
3168,1,0,1
1680,1,0,3
2576,0,0,1
704,0,0,1
528,0,0,0
1040,0,0,7
5456,0,25,2
10880,1,150,9
944,3,75,2
35440,0,175,4
4752,0,0,2
2096,0,0,0
3056,0,0,0
1968,0,0,0
4000,0,50,3
7376,0,25,2
1568,0,25,0
1216,0,0,2
38800,6,225,9
3392,0,0,2
3712,0,200,4
6016,0,0,4
4816,0,100,0
4976,0,0,0
14272,3,100,15
1008,0,0,0
2272,0,0,1
2336,0,0,1
4464,0,0,1
7488,0,0,1
10688,1,275,6
1904,0,0,3
0,0,0,0
784,0,0,2
12304,2,50,5
18224,0,75,8
3744,0,0,1
5792,0,0,0
656,0,0,0
928,0,0,1
12384,2,125,7
1792,0,100,2
5936,0,225,9
5296,0,0,4
6480,0,0,8
4832,0,175,6
2464,0,200,5
9664,2,25,1
5312,0,0,3
25648,0,0,4
2720,1,0,5
2528,0,125,6
800,0,0,1
19232,4,100,14
2736,1,50,1
1968,0,0,0
1424,0,50,1
1712,0,0,0
15312,0,125,3
8512,0,25,3
2128,0,0,0
16464,1,200,6
2448,0,0,0
2240,0,0,0
2976,0,0,1
6352,0,75,4
5024,3,50,7
13904,2,75,6
4928,0,0,0
2032,0,0,0
320,0,0,0
608,0,0,0
432,0,0,0
2256,0,0,5
672,0,0,0
2400,0,0,3
24288,0,75,10
17440,0,25,2
1552,0,0,0
1264,0,0,0
352,0,0,1
4192,0,0,0
3248,0,150,0
1376,0,50,3
7872,1,0,1
13632,0,25,0
36544,0,300,9
1616,0,25,0
6848,2,0,6
4944,0,0,0
2176,0,0,1
16912,0,50,3
6096,1,25,1
1440,0,25,1
704,0,125,2
17680,0,175,10
14512,0,125,4
2240,0,0,1
736,0,0,0
3360,0,25,4
5552,0,75,5
18672,0,0,2
13872,0,25,9
9104,0,0,19
816,0,25,2
3008,0,25,0
448,0,0,1
2064,0,50,6
3552,0,0,3
1072,0,0,0
15376,0,0,5
1120,0,0,0
6240,0,0,6
3744,0,0,6
1024,0,0,1
3840,0,200,4
2800,0,25,1
272,0,0,0
15312,0,75,7
1168,0,0,1
36720,2,500,14
13744,0,100,6
20368,3,125,3
24048,1,225,3
14560,0,0,3
71424,1,175,12
8928,0,25,8
7056,0,0,0
4656,0,0,1
256,0,0,5
512,0,25,1
784,0,0,1
3696,0,0,0
7600,0,0,9
2416,0,0,0
320,0,0,0
1424,0,0,0
6688,0,125,5
0,0,0,0
848,0,100,0
976,0,0,0
1024,0,0,1
224,0,0,0
1536,0,0,0
3360,0,0,3
912,0,0,0
976,0,0,0
4176,0,75,3
16,0,0,0
1120,0,0,4
14944,0,25,0
944,0,0,0
1424,0,25,3
6704,0,0,14
46560,2,100,6
6016,0,0,1
6992,0,100,1
2656,0,0,1
3040,1,0,0
320,0,0,0
944,1,25,8
4992,0,25,2
7184,0,0,3
33904,2,450,4
12064,0,25,7
5024,0,175,1
8400,2,25,4
416,0,0,0
14048,0,25,2
18464,0,175,9
4336,0,0,2
5152,0,0,0
5456,0,50,1
1008,0,0,0
96,0,0,1
2256,0,0,1
8560,0,200,9
4576,1,125,3
688,1,25,3
416,0,0,0
6688,0,100,4
688,0,0,1
1024,2,25,1
160,0,0,0
2256,0,0,5
192,0,0,1
768,0,0,0
