sim,population,hospitals,mobilehomes,psubstations
1,32,0,0,0
2,3392,0,0,0
3,2624,0,0,0
4,5104,0,0,0
5,2800,0,0,1
6,2128,0,0,2
7,4672,2,225,0
8,6288,0,0,2
9,16272,1,325,3
10,21520,1,150,8
11,3024,0,0,3
12,2096,0,0,0
13,20768,0,25,1
14,19168,2,25,6
15,1088,0,0,0
16,64528,10,300,11
17,4512,1,25,2
18,35168,0,0,8
19,6208,0,50,4
20,896,0,0,3
21,288,0,0,1
22,80,0,0,0
23,124736,4,0,3
24,40400,1,75,6
25,60608,0,450,10
26,48,0,0,0
27,12160,0,325,9
28,1888,1,25,6
29,114688,9,375,12
30,68288,0,0,5
31,7056,0,0,0
32,5968,0,50,2
33,7264,0,0,3
34,432,1,0,1
35,30320,2,0,10
36,7312,0,75,5
37,8544,1,0,9
38,112,0,0,0
39,2336,0,0,2
40,4704,0,0,3
41,11584,0,350,8
42,1248,0,0,0
43,6304,1,150,8
44,2000,0,0,1
45,48,0,0,0
46,4960,0,100,1
47,6032,2,0,0
48,5232,0,50,2
49,11792,0,0,2
50,4432,0,0,1
51,304,0,0,0
52,5200,1,0,2
53,2192,0,0,0
54,3472,0,0,1
55,13184,0,0,3
56,528,0,0,0
57,112,0,0,2
58,2144,0,125,3
59,6720,0,25,5
60,192,1,0,1
61,24368,0,0,2
62,33696,7,125,4
63,752,0,0,1
64,4576,0,0,4
65,3808,0,0,1
66,8912,0,0,1
67,13056,1,0,2
68,1296,0,0,1
69,76144,0,200,6
70,32,0,0,0
71,2736,0,0,1
72,37808,0,0,9
73,1120,0,0,8
74,36576,1,0,3
75,6112,0,75,3
76,2176,0,0,1
77,528,0,0,2
78,8880,1,225,2
79,1664,0,0,3
80,15840,3,150,7
81,5376,2,0,2
82,400,0,0,1
83,28784,1,0,3
84,72176,0,50,1
85,3312,0,0,3
86,17808,0,525,4
87,36512,2,1000,11
88,3536,1,275,9
89,3408,0,75,2
90,12752,0,225,10
91,3216,0,75,1
92,3680,0,0,3
93,64384,1,175,11
94,2016,0,0,3
95,560,0,0,0
96,28448,2,100,7
97,6512,0,0,3
98,224,0,0,3
99,4096,0,0,0
100,688,0,0,3
101,48,0,0,0
102,1472,0,0,0
103,10352,0,125,2
104,9264,0,25,2
105,11248,1,0,6
106,36096,5,150,5
107,80,0,0,0
108,25296,1,0,1
109,208,0,0,1
110,2640,1,0,12
111,1888,1,0,1
112,28848,1,225,11
113,2192,2,0,6
114,1536,1,0,3
115,4000,1,0,7
116,6320,0,0,0
117,1312,1,150,1
118,2896,1,550,6
119,1728,0,0,1
120,109520,1,150,9
121,5024,3,75,6
122,1104,0,0,0
123,592,1,0,5
124,1232,0,0,2
125,4784,0,25,4
126,464,0,0,2
127,2784,1,0,1
128,5568,0,0,5
129,24448,0,100,2
130,1184,0,0,1
131,3648,0,0,1
132,3216,0,75,2
133,87216,1,75,9
134,51152,1,275,15
135,672,0,0,1
136,48480,2,600,11
137,1392,1,50,7
138,112,0,0,0
139,2240,0,0,1
140,2624,0,0,0
141,15200,2,375,2
142,13792,0,100,4
143,10320,2,75,0
144,144,0,0,1
145,4480,0,50,5
146,1600,0,0,3
147,4176,0,50,2
148,15520,0,175,3
149,1312,0,0,0
150,7680,2,175,5
151,8016,1,25,9
152,30016,1,0,4
153,464,0,0,0
154,352,0,0,0
155,912,0,0,2
156,35120,2,250,7
157,1520,0,0,6
158,26640,10,25,6
159,13520,1,0,4
160,2000,0,0,1
161,1744,0,0,4
162,18064,0,25,0
163,2992,0,25,1
164,3504,0,0,4
165,10576,0,0,3
166,17392,2,0,5
167,496,0,0,0
168,17632,2,75,7
169,736,0,0,3
170,22496,0,0,7
171,5248,1,0,6
172,720,0,0,3
173,4848,0,0,4
174,368,0,0,0
175,41632,1,150,7
176,22848,0,0,3
177,4016,0,0,0
178,6384,1,0,6
179,240,0,0,2
180,10512,0,275,6
181,608,0,0,1
182,13184,1,150,6
183,64,0,0,0
184,3856,1,0,1
185,12544,0,175,4
186,7888,0,0,4
187,77216,0,50,14
188,960,0,0,3
189,976,0,0,4
190,544,0,0,2
191,4368,0,375,1
192,103152,1,1450,16
193,71664,1,550,7
