hospitals,mobilehomes,psubstations
0,0,4
2,100,15
0,25,2
0,125,13
0,175,19
0,125,8
3,225,12
3,425,17
3,550,27
5,750,21
1,25,8
1,175,13
0,25,5
2,25,6
0,100,12
12,450,38
1,75,4
9,750,45
4,600,18
0,100,9
2,150,10
0,50,14
4,250,19
3,300,32
0,650,17
0,75,4
0,525,25
5,175,18
10,450,37
1,325,20
2,225,10
2,175,25
0,50,22
1,0,4
2,0,17
3,250,26
6,100,26
0,100,7
3,525,18
1,225,21
2,400,13
0,225,15
5,625,33
1,275,13
0,0,5
0,225,8
2,300,14
3,225,21
5,850,21
4,475,25
1,375,13
2,225,7
0,0,0
0,50,7
0,0,5
0,50,11
1,25,8
0,225,17
0,75,25
1,25,1
0,0,8
12,475,23
0,75,7
2,175,15
2,975,27
1,75,5
1,0,4
0,25,14
1,275,21
2,25,4
0,0,9
0,75,17
4,450,28
2,175,7
1,75,4
1,0,9
1,150,19
7,225,20
2,175,16
3,150,16
3,500,14
1,150,15
4,450,9
0,450,23
0,200,9
2,550,11
3,1275,21
3,1200,49
1,375,9
1,300,26
0,125,19
1,275,14
7,600,22
1,100,10
0,250,5
3,100,22
8,525,32
0,25,10
6,275,19
2,350,12
0,0,3
0,175,14
4,800,30
1,50,9
5,475,32
6,175,14
0,50,5
1,25,5
2,75,11
2,125,30
1,0,8
2,225,37
2,0,10
1,0,4
3,450,19
1,325,10
2,675,19
5,1425,21
0,125,18
1,325,32
5,600,30
2,25,7
2,50,25
0,0,11
4,200,21
0,125,8
1,550,10
5,100,20
2,225,5
1,75,12
2,400,9
1,200,9
2,375,14
2,325,24
0,50,4
4,800,27
1,325,11
0,0,2
0,100,2
2,75,18
6,425,11
9,500,34
2,100,3
0,25,12
1,350,6
0,0,6
2,250,11
0,200,10
0,25,3
3,350,22
4,250,30
2,125,28
0,125,8
0,0,6
0,0,9
3,775,18
1,200,10
11,250,21
3,225,18
0,25,6
1,300,15
0,200,0
2,150,16
4,300,13
5,425,45
8,250,21
1,25,7
2,125,15
2,125,11
0,375,43
6,600,28
0,0,6
6,575,21
4,175,24
2,250,25
0,275,16
0,25,10
3,700,55
1,200,13
0,350,12
1,375,9
3,350,22
1,25,5
2,75,5
1,200,31
1,25,12
0,75,30
6,675,23
0,125,8
1,200,10
1,575,13
1,1725,20
9,725,43
1,75,13
6,600,35
2,275,19
4,175,10
1,425,15
2,275,16
3,300,39
0,25,15
4,350,26
6,0,15
1,475,20
6,875,18
1,0,1
5,325,17
9,150,26
1,25,10
0,125,6
1,100,17
1,275,13
0,75,6
5,275,15
1,25,7
7,950,24
0,1150,14
2,525,6
3,175,19
2,25,6
1,0,18
0,275,8
3,0,7
4,275,19
1,100,13
4,900,21
2,150,18
1,75,31
3,175,24
1,0,10
4,400,30
0,25,9
4,750,12
0,175,4
5,300,22
0,75,6
0,75,5
3,725,14
6,1375,38
0,175,8
2,100,16
3,200,4
0,475,12
4,800,26
2,75,11
0,475,9
9,400,24
1,25,13
1,0,10
0,0,11
1,350,28
3,150,6
2,425,13
0,0,0
4,325,39
0,750,7
2,125,9
1,250,9
3,525,30
1,925,12
2,150,21
0,25,13
0,150,9
4,200,25
1,100,11
0,75,6
4,850,14
2,475,7
4,25,24
1,100,24
0,25,5
1,25,9
2,875,25
0,0,6
0,25,6
0,25,2
0,0,6
1,200,12
3,0,18
0,575,38
1,175,13
0,25,11
1,50,9
7,75,24
4,125,19
3,200,7
0,125,14
2,225,11
3,375,13
0,200,8
2,550,18
4,175,13
3,450,23
1,325,13
12,750,22
1,25,13
1,0,6
1,225,10
1,175,14
0,200,19
3,675,26
1,50,5
1,175,17
2,200,19
5,325,41
1,25,7
2,50,9
8,75,9
1,600,11
2,1100,22
9,225,22
1,150,11
4,500,10
0,50,11
2,325,16
2,125,4
1,75,10
9,900,40
3,925,42
0,0,8
1,125,13
3,150,20
1,550,10
0,175,17
6,1100,21
1,25,6
1,0,5
0,50,5
2,350,8
1,300,20
4,1175,34
5,150,20
0,0,6
1,250,44
0,0,5
2,350,18
0,0,7
0,0,2
0,25,4
0,25,5
1,50,4
3,25,23
2,550,18
2,375,20
0,0,3
0,325,9
2,125,14
3,125,20
1,125,13
1,300,38
0,0,18
1,300,13
2,75,7
3,350,20
1,0,7
2,250,22
1,175,13
3,75,19
0,100,4
5,300,9
1,300,18
1,200,21
0,0,6
1,25,1
0,500,15
0,25,9
1,25,6
3,50,3
8,375,25
5,500,39
